报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.14,0.08,0.05,0.09,0.14,0.08,0.04,0.1,0.11,0.07,0.03,0.1,0.12,0.08,0.05,0.28,0.26,0.18,0.08,0.39,0.3,0.23,0.09,0.4,0.27,0.14,0.07,0.36,0.27,0.14,0.06,0.34,0.24,0.12,0.11,0.81,0.52,0.28,0.63,0.44,0.44,0.38,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,5.11,--,--,5.11,5.03,3.5,3.42,3.34,4.18,4.19,4.09,3.91,3.78,5,4.93,4.78,4.7,5.53,5.67,5.56,5.45,11.06,10.96,3.46,3.21,3.48,0,2.25,2.21,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-0.16,--,--,0.04,0.07,-0.09,0.32,0.12,0.13,0.02,0.84,0.52,0.26,0.15,0.4,0.28,0.05,-0.04,0.12,0.12,0.01,-0.27,0.49,0.25,0.13,0.5,0.28,0.69,1.7,
主营业务收入(万元),198320,132479,65296,250425,184395,123320,58608,218732,163163,111745,48185,186209,132700,81432,33118,146460,109166,75218,37737,152398,114536,74640,35560,126111,80483,45331,20854,80102,55865,34327,13880,61609,40921,22913,10697,51338,34220,18787,37863,26583,29481,25831,
主营业务利润(万元),64932,43981,22226,89450,60439,40097,19806,62615,47432,30896,13698,57214,41683,26903,12086,61157,45823,30633,14951,62304,44252,29290,13468,50792,35319,20399,9572,37678,26002,15595,6460,28359,19323,10286,4872,23767,17095,9724,19101,13660,15078,11956,
营业利润(万元),11871,7443,4806,12603,8428,2786,1399,10555,7728,4962,250,5921,8610,6971,3528,18556,16122,10697,4691,20694,15987,10256,4215,17733,12368,6046,2530,12569,9408,4933,1614,9719,6667,3252,1513,8684,5810,3093,6011,4151,3532,3578,
投资收益(万元),5457,2381,1727,5681,4829,3298,629,15661,1530,1045,273,360,82,42,24,511,649,642,356,557,118,-14,-3,-16,-17,-19,24,-0,--,0,--,0,0,0,--,-0,-0,-0,-8,0,-20,16,
营业外收支净额(万元),862,67,83,-1402,4998,4876,2061,2035,6384,2695,3239,5539,2509,665,338,3194,965,389,94,1765,1656,661,454,1732,678,579,-41,381,140,262,201,355,287,374,15,121,-25,2,59,119,536,-76,
利润总额(万元),12732,7510,4889,11200,13425,7662,3460,12590,14111,7657,3490,11460,11119,7636,3866,21750,17087,11086,4785,22460,17643,10917,4669,19466,13045,6625,2489,12950,9548,5195,1816,10075,6954,3626,1528,8805,5785,3095,6070,4270,4068,3501,
净利润(万元),9219,5590,3093,5644,9189,5381,2602,6594,7039,4858,2253,6602,7678,5321,3152,17730,14509,9307,3866,19680,15176,8970,3570,15824,10733,5523,2126,10717,8002,4264,1486,8350,5794,3032,1295,7420,4817,2551,5092,3541,3595,3078,
净利润(扣除非经常性损益后)(万元),4016,791,1041,-4604,4338,784,727,-15200,1791,2598,-427,1568,5776,4844,2848,14722,--,8609,--,18323,--,8646,--,14692,--,5031,--,10424,--,4047,--,8059,--,2715,--,7310,4840,2549,5039,3442,3071,3118,
经营活动产生的现金流量净额(万元),4782,624,-12799,9124,-26151,-31621,-24742,10953,-2448,-4514,-3367,19848,-8476,-10789,1318,15989,2626,4839,-4582,16558,6213,5169,701,32837,20307,10174,4406,11891,8478,1349,-863,2955,3004,320,-3278,4547,2327,1197,4619,2273,5572,13802,
现金及现金等价物净增加额(万元),-5932,7099,-13666,-44466,-67279,36923,-59497,39777,-16389,-12291,49831,-14938,14511,-24606,-2895,33545,65184,138890,-9593,-44934,-40050,-4016,828,-54025,-33293,-20545,-3844,50441,-3320,-8731,-8847,-36336,-32627,-32004,-19249,105566,2153,834,5820,1630,-1495,3462,
总资产(万元),856181,826182,877333,862561,883638,969777,925495,924069,862667,854177,883005,798873,757342,569935,469313,465200,458743,508749,354162,358828,346950,357723,355646,347471,341948,283935,296726,294903,225802,208362,196353,192114,192009,187829,170969,184663,75496,73573,69831,0,55147,55343,
流动资产(万元),328006,320935,401500,391859,426768,520010,480652,487238,303181,315407,372366,298081,288210,257485,188363,212757,205944,267283,117853,124832,123277,153922,155821,149766,162802,149525,165083,169195,109897,103265,99144,104850,110306,109022,117593,133534,24886,23259,21872,--,11551,10118,
总负债(万元),440476,415779,471809,461334,479008,567143,524930,535695,482689,478640,511480,430437,385271,201443,110771,110602,107082,162900,162702,171708,164711,182098,180065,176470,179710,130426,140659,141247,81327,67025,57865,50216,52711,51363,32639,47601,41408,41781,36069,--,35494,36198,
流动负债(万元),268254,249060,332413,322244,262575,342849,323573,323547,368310,365800,408794,330114,235855,127507,56641,56386,49463,104943,104642,113735,99989,108090,105881,101817,91657,65335,70664,70732,60301,55928,36813,29442,32262,30910,25508,40380,36102,35975,29152,--,26599,13644,
股东权益不含少数股东权益(万元),350160,348656,346097,343059,346324,345377,344419,346190,346620,344395,341870,339660,340587,338270,343919,340769,337798,332592,178278,174389,170095,163888,164430,160544,153340,148131,150767,148332,143886,138760,135980,139414,136864,134102,136054,134764,31802,29536,32054,0,18210,17894,
净资产收益率加权(%),2.65,1.62,0.89,1.64,2.65,1.56,0.75,1.92,2.05,1.42,0.66,1.94,2.25,1.55,0.92,6.9,6.27,5.23,2.19,11.83,9.1,5.44,2.2,10.24,7.06,3.65,1.42,7.49,5.65,3.05,1.08,6.12,4.26,2.24,0.95,23.19,0,8.11,24.53,0,21.16,18.77,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
