报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.07,0.04,-0.02,-0.15,0.02,0.01,0.12,0.59,0.41,0.27,0.12,0.63,0.41,0.23,0.12,0.56,0.52,0.18,0.19,0.58,0.49,0.36,0.19,0.63,0.47,0.4,0.21,0.8,0.63,0.46,0.22,0.69,0.49,0.36,0.26,0.87,0.64,0.25,0.72,0.48,0.47,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.34,6.17,5.93,6.21,6.01,5.87,2.45,2.18,1.96,0,2.24,2,8.39,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.34,0.12,0.05,0.69,0.48,0.3,0.21,1.06,0.77,0.45,0.93,0.81,2.51,
主营业务收入(万元),43443,29960,12617,66459,49290,29378,14715,116242,76134,53027,27095,126488,87530,55142,25760,85829,50397,19342,9694,31914,24872,17396,8610,31725,22221,14998,7455,28534,21832,14865,7332,24637,16455,10229,6807,24717,17494,6071,21380,17725,15003,
主营业务利润(万元),37534,25859,10860,55774,40896,23894,12155,89590,55213,37473,18750,95539,66402,41232,18920,71187,44347,7303,3709,12461,9874,6899,3693,13626,9795,6762,3252,12523,9876,6978,3556,11535,7942,4939,3269,11820,8527,2977,10362,6622,5938,
营业利润(万元),6078,3511,-729,-8141,2772,988,8858,46669,30807,20244,9179,44918,30236,16702,8678,27609,15877,6018,3182,9429,7991,5867,3134,10233,7613,5322,2618,10109,8031,5884,2819,7824,5304,3556,2443,8390,6157,2411,7139,4270,3910,
投资收益(万元),9406,6324,--,12774,73,47,7227,7421,10737,6227,1045,2215,878,-916,315,1327,940,--,--,77,53,43,26,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,
营业外收支净额(万元),-47,-43,-32,-177,-45,61,8,-104,333,142,112,738,464,936,86,587,428,8,0,140,159,155,0,88,104,99,0,31,-3,-18,0,88,67,36,38,31,9,-10,-186,-35,-163,
利润总额(万元),6031,3468,-761,-8318,2727,1049,8865,46565,31140,20385,9291,45656,30700,17637,8764,28196,16305,6026,3182,9569,8150,6022,3135,10322,7717,5420,2618,10139,8028,5866,2819,7912,5371,3592,2480,8421,6167,2401,6952,4235,3746,
净利润(万元),4932,2566,-1293,-9579,1259,559,8237,38841,27231,17679,7725,41770,26990,15294,7832,25025,14605,5135,2714,8148,6944,5117,2652,8804,6570,4603,2228,8627,6824,4986,2396,6698,4562,3056,2108,7026,5224,2020,5882,3704,3263,
净利润(扣除非经常性损益后)(万元),4615,2324,-1331,-8857,674,-25,8099,38201,26902,17555,7630,41099,26645,14651,7760,24527,14242,5128,2714,8019,6810,4985,2652,8729,6483,4519,2228,8601,--,5001,--,6623,--,3026,2076,7001,5216,2030,6072,3738,3429,
经营活动产生的现金流量净额(万元),3843,3657,9170,7446,3195,2287,7664,27111,19382,11440,1864,16932,16834,13774,5667,13773,4692,5380,3531,8011,7019,5104,1942,8313,5769,4024,512,6304,3676,1292,507,7443,5199,3259,1680,8571,6243,3662,5406,4689,2507,
现金及现金等价物净增加额(万元),-52935,-38076,-25639,-27067,5356,3737,17124,104369,93338,9180,896,-10462,-13396,4069,3462,50340,3290,4623,2736,-1384,-1050,-1494,1359,-1285,-2412,-2046,-1442,-5096,-5263,-3764,397,45322,44854,47961,1507,3667,1476,1714,-749,2984,934,
总资产(万元),388150,403030,397238,429845,427089,430038,435781,399844,369763,282258,272413,268754,249082,245286,245312,241577,240648,82589,80669,76949,76609,76596,79901,77380,74601,73400,75813,72902,71227,70348,71767,69019,66927,69073,23501,20968,19406,0,16495,14353,9554,
流动资产(万元),187239,203872,230844,252342,279357,270185,275876,270162,241130,159763,154724,151489,136243,146980,145628,142009,141569,63320,61083,57265,56860,56755,59769,57653,55909,54807,57888,56217,58931,59634,61054,58384,57022,60675,15071,12474,10828,--,10097,7904,5627,
总负债(万元),99693,117173,115513,147142,133936,137697,135602,107885,89528,11794,11861,16016,12148,19537,23538,27192,36543,2514,3015,2008,2872,4687,3418,3549,3004,3770,3144,2462,2589,3548,7557,1791,1834,5487,3641,3234,3474,--,3524,2741,1160,
