报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.43,0.16,0.07,-4.61,0.24,0.15,0.05,0.73,0.62,0.42,0.16,0.64,0.45,0.31,0.15,0.57,0.37,0.85,0.47,1.52,1.09,0.73,0.38,1.04,0.63,0.45,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,2.62,--,--,2.4,6.87,6.81,4.43,4,--,3.29,6.07,3.99,2.72,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,--,--,0.19,0.35,0.09,1.26,0.97,0.39,0.21,1.86,1.3,0.49,
主营业务收入(万元),104668,68314,33409,147855,104409,65314,28950,232822,163279,109919,48160,117164,81212,55000,23557,85941,61871,43911,20201,69957,47912,32313,15804,53606,36832,28199,
主营业务利润(万元),35330,23254,10821,46386,34292,21838,9582,79757,54674,36481,15181,38816,27014,18657,8530,29275,21200,15058,7081,23784,16356,11084,5561,18934,12593,7881,
营业利润(万元),22904,9754,4184,-235452,14065,9409,3282,43685,36916,24491,9397,26407,18820,13050,5969,19786,14943,10373,4926,15323,10906,7446,3854,10864,6541,4731,
投资收益(万元),8755,--,--,--,--,--,--,70,70,75,30,108,108,108,78,393,260,78,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-31,101,13,9969,58,38,29,-98,1144,815,701,213,174,94,219,449,152,89,28,756,660,290,207,178,185,128,
利润总额(万元),22873,9855,4197,-225483,14123,9446,3311,43587,38060,25306,10098,26619,18993,13144,6188,20235,15095,10463,4954,16079,11566,7737,4061,11042,6726,4858,
净利润(万元),21270,7877,3326,-232384,12187,7892,2530,37122,31532,21229,8447,22883,16093,11182,5285,17371,12832,8892,4212,13678,9846,6590,3432,9347,5714,4086,
净利润(扣除非经常性损益后)(万元),16769,10325,3149,-239024,11189,7207,2309,34916,30508,20476,7826,22596,15853,11010,5033,16655,--,8750,--,13035,9285,6344,3256,9196,5557,3977,
经营活动产生的现金流量净额(万元),21256,15947,4763,-10139,-1802,-5243,-4011,-21078,5644,5551,-2555,18424,14989,6678,3867,7470,6755,4224,1099,11311,8722,3542,1888,8380,5846,2211,
现金及现金等价物净增加额(万元),-30420,-28349,-18150,15221,7877,580,5236,-17206,-15291,-22276,-18834,29740,6656,3928,-9497,17853,9044,10452,37551,4312,4935,656,365,110,571,765,
总资产(万元),235524,286541,305867,326148,530495,531478,558470,550819,486916,456969,463240,446424,152428,149659,131271,133403,124673,121431,119498,76939,71614,--,63099,59331,40664,28847,
流动资产(万元),129489,184580,205403,178988,274768,274768,272159,264964,234861,202714,221500,207482,110738,108619,92095,95635,92081,91703,92188,50172,46654,--,39565,37835,25708,20290,
总负债(万元),90758,113865,137664,161194,157340,162530,152863,147574,122068,102543,106420,97944,53327,55483,43026,42489,38298,38996,37543,36888,35395,--,33494,32033,22713,16610,
流动负债(万元),67405,90570,114271,141551,147330,152634,143521,138063,112017,92778,96766,87720,49809,52070,39817,39397,35436,36367,34969,34643,33490,--,31462,29998,21607,16297,
股东权益不含少数股东权益(万元),144835,172623,168063,164740,372818,368517,405100,402572,364733,354427,356819,348480,99101,94176,88245,90913,86374,82435,81755,39851,36018,--,29605,27298,17951,12237,
净资产收益率加权(%),12.13,4.67,2,-82.16,3.02,1.95,0.63,10.36,8.82,5.95,2.39,23.73,17.18,11.59,5.65,23.33,18.43,14.25,10.04,41.08,31.28,21.95,11.83,41.31,37.86,40.08,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
