报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
基本每股收益(元),0.48,0.38,0.24,0.5,0.47,0.37,0.25,0.45,0.37,0.28,0.19,0.48,0.39,0.28,0.16,0.39,0.29,0.2,0.22,0.63,0.52,0.36,0.18,0.44,0.4,0.27,0.13,0.34,0.29,0.26,0.19,1.17,0.79,0.49,0.94,0.29,0.9,0.37,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.91,6.88,8.9,8.71,8.34,3.52,3.03,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.03,-0.09,-0.2,-0.96,-0.54,0.07,0.83,0,0.88,0.58,
主营业务收入(万元),434718,298420,154991,481456,382616,270029,158060,408127,305970,224487,131467,382016,289012,203057,110175,318475,245702,170546,85950,292116,221742,153723,80104,249016,183048,115624,58043,164868,106312,70277,44014,195321,139005,88909,164932,66337,163233,93856,
主营业务利润(万元),281255,195502,97369,308837,245825,174545,104272,269191,202770,148258,87497,245908,190577,135547,72825,198035,153769,105920,53810,180821,139614,97713,50968,163009,120181,78175,39595,110344,71192,46904,29731,130998,91808,58155,107213,43514,97533,54624,
营业利润(万元),68680,54427,34390,71895,67300,53240,35533,64924,53822,40682,26039,62369,51651,36953,21697,49903,38535,26672,14937,40999,32739,23373,11891,27323,25871,17905,8365,18822,17140,15918,9338,48959,33170,20325,34572,12856,33964,15037,
投资收益(万元),2871,1655,252,2233,2040,1505,843,1527,1204,622,52,-9,48,42,30,576,566,503,283,1666,1451,1057,517,737,412,144,--,--,--,--,--,--,--,--,0,0,0,--,
营业外收支净额(万元),-249,-208,6,-1795,-504,-274,-30,-1090,-476,-467,-89,1400,-675,-331,55,36,-158,-556,-520,57,677,462,195,1611,462,171,-26,2801,1766,587,252,4292,1708,360,2304,-124,1467,-614,
利润总额(万元),68431,54219,34397,70100,66796,52966,35503,63835,53346,40216,25950,63769,50976,36622,21752,49939,38377,26116,14417,41056,33416,23835,12086,28934,26333,18076,8339,21624,18906,16505,9590,53250,34877,20685,36876,12732,35431,14423,
净利润(万元),57493,45477,28837,59922,56181,44807,31066,54071,44940,33929,21948,54202,43527,31104,18362,43049,33078,22278,12360,35450,29036,20113,10101,24429,22296,15167,6990,18581,16046,14179,8160,45407,29571,17498,31556,10590,29718,12212,
净利润(扣除非经常性损益后)(万元),53956,42830,27885,56912,53907,43161,30823,50842,44674,34150,22331,53017,44096,31384,18317,43049,33214,22691,12749,35450,28454,19716,9937,22943,21896,15018,7009,16235,--,13679,--,41758,--,--,30997,--,30156,13924,
经营活动产生的现金流量净额(万元),32023,41578,36665,7237,18459,18824,-15435,11465,-16326,-12475,-10550,63164,22955,31023,2856,13188,-13941,1651,-2090,10590,-9350,15734,2909,5532,4229,11464,11912,7013,-1449,-4767,-8561,-40849,-23024,2657,29972,7,31821,21018,
现金及现金等价物净增加额(万元),-3285,-23043,6984,-2509,19366,54565,-10160,25461,34103,29870,114732,10347,-6119,-1357,-4209,2906,-5641,2533,5925,-30810,-67,3341,-380,-78942,-49382,-32717,4706,-46344,-36361,-29044,-14595,155941,182506,-6108,19225,-7088,8471,6286,
总资产(万元),891078,884786,881864,855722,845099,831195,819115,788737,775118,797374,795499,625045,622965,604856,584734,570696,578985,549607,517309,508791,502084,498790,482136,465803,470960,456996,432428,416572,432037,424070,427322,422542,416186,189288,177111,--,150944,83191,
流动资产(万元),508114,515427,515160,489827,477925,459912,445784,414656,398890,420536,420732,252622,254731,234815,235517,232232,249113,235643,218372,224244,279537,285103,282996,269532,290557,290773,278312,269453,297427,304062,318784,318260,318183,99888,89283,--,92881,44572,
总负债(万元),98796,99418,101988,99356,87830,85273,75902,77558,79619,113517,111466,91783,107813,102218,83634,87956,94138,77390,49357,53381,53222,58870,45992,39969,48146,42745,40956,32075,50073,43977,49000,52378,61872,62687,68008,--,71889,34788,
流动负债(万元),76191,76586,79169,76466,70726,68417,59400,60729,62070,95308,93290,74061,89701,84264,66422,70742,76681,59600,33195,36726,36618,42924,30310,24703,32280,26803,21677,13022,29675,26815,33024,37398,41125,41930,53410,--,64075,28842,
股东权益不含少数股东权益(万元),791367,784372,779659,756113,757220,745809,743104,711019,695283,683661,683029,532184,514302,501711,500012,481561,484297,472218,467952,455410,448862,439919,436144,425834,422814,414251,391473,384497,381964,380093,378322,370164,354313,126601,109103,--,78769,48150,
净资产收益率加权(%),7.36,5.86,3.75,8.14,7.38,5.98,4.26,8.25,6.7,5.16,3.48,10.81,8.62,6.24,3.73,9.35,7.01,4.59,2.68,7.99,6.59,4.61,2.34,6.04,5.64,3.87,1.8,4.92,4.26,3.76,2.18,20.49,17.21,14.85,33.34,12.6,47.16,27.14,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
