报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.14,0.09,0.03,0.28,0.21,0.18,0.09,0.37,0.29,0.38,0.21,0.85,0.61,0.43,0.22,0.66,0.49,0.58,0.37,0.16,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.83,3.68,--,3.24,--,2.8,1.97,1.93,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.21,0.17,--,1.01,0.57,1.11,0.17,0.48,
主营业务收入(万元),26932,18495,8598,34892,25513,17946,9297,39492,29549,19280,8791,32582,21962,14310,6966,26736,18751,23354,20362,17315,
主营业务利润(万元),9478,6530,2933,12385,9202,6499,3549,15126,11288,7687,3598,13044,8834,5874,2980,10473,7416,9125,7362,6665,
营业利润(万元),1712,1072,305,4745,3847,3248,1825,6302,4982,3525,1802,5437,3972,2797,1501,4213,3294,3551,2307,1144,
投资收益(万元),255,148,-97,1170,581,226,141,158,76,--,--,--,--,--,--,2,2,--,--,227,
营业外收支净额(万元),588,406,224,205,154,162,13,501,442,165,148,296,137,80,27,276,97,145,187,114,
利润总额(万元),2301,1478,528,4950,4001,3410,1838,6803,5424,3690,1950,5733,4109,2876,1528,4489,3391,3696,2494,1258,
净利润(万元),2264,1389,519,4460,3445,2843,1513,5885,4608,3029,1652,5110,3686,2556,1311,3954,2951,3188,2199,986,
净利润(扣除非经常性损益后)(万元),1818,1098,356,4041,3064,2519,1383,5363,4429,2924,1633,4931,3634,2494,1311,3803,2930,3160,2090,741,
经营活动产生的现金流量净额(万元),1298,1057,3177,4262,1188,1622,717,4157,1705,1915,-816,2103,1247,1035,638,6082,3426,6685,954,2891,
现金及现金等价物净增加额(万元),-4250,-2726,5910,3339,3242,1873,-193,-14888,-3890,-3405,-2831,18275,-753,-882,48,-1423,-2764,2317,660,22,
总资产(万元),78017,78172,86255,77559,76046,68646,65855,63544,62128,57853,57593,57078,35248,32526,--,31761,--,30567,28476,24638,
流动资产(万元),36898,37576,46093,39072,41370,47912,49015,46910,46552,42636,44000,43536,21865,19003,--,18436,--,18436,18010,14932,
总负债(万元),28379,29392,38923,31402,29622,19651,19094,18347,18237,15559,13611,14724,11933,10426,--,12301,--,13751,17699,13060,
流动负债(万元),24053,25114,34427,27212,27605,17311,16607,16164,15784,13126,11348,12619,10402,9030,--,11125,--,12844,16944,12534,
股东权益不含少数股东权益(万元),48558,47684,46237,45719,45945,48578,46278,44765,43488,41909,43631,41979,22956,21826,--,19270,--,16816,10777,11578,
净资产收益率加权(%),4.88,3.01,1.13,9.81,7.33,6.15,3.32,13.55,-6.68,6.92,3.86,23.41,17.46,12.44,6.58,21.91,16.13,25.77,17.7,9.13,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
