报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.13,-0.04,-0.08,0.12,-0.08,-0.18,-0.18,0.2,-0.04,-0.09,-0.21,0.65,0.28,0.27,-0.23,0.92,0.09,1.02,0.75,0.41,0.24,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,5.22,--,4.96,--,4.04,3.02,2.64,2.22,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-1.88,--,0.38,--,1.21,1.18,0.59,-0.21,
主营业务收入(万元),22576,9394,4103,26275,11114,5183,2154,23865,13038,7538,1561,26279,15868,11238,1511,25778,9609,32740,24410,18701,12023,
主营业务利润(万元),10450,4776,1699,12291,5090,2183,874,10723,5567,3385,664,12349,7539,5087,644,11836,4400,15865,11220,8517,5921,
营业利润(万元),1025,-463,-945,1824,-421,-1505,-1316,1310,-916,-1115,-1717,2685,452,504,-1584,3099,-902,4992,3586,1892,992,
投资收益(万元),98,66,41,201,133,69,--,208,171,113,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),330,-4,-3,-153,-298,-334,-14,259,692,487,173,1421,1185,1011,322,2484,1435,1426,1060,864,440,
利润总额(万元),1355,-467,-948,1671,-719,-1839,-1330,1568,-224,-628,-1544,4106,1637,1515,-1262,5583,532,6418,4646,2756,1432,
净利润(万元),1389,-418,-932,1265,-829,-1947,-1330,1491,-288,-682,-1544,3801,1544,1459,-1264,5070,518,5589,4115,2260,1265,
净利润(扣除非经常性损益后)(万元),879,-539,-987,983,-786,-1791,-1344,243,-1021,-1193,-1691,3371,1213,1277,-1368,4001,--,5177,3772,1761,891,
经营活动产生的现金流量净额(万元),-7378,-10610,-8168,2705,-10330,-6204,-4295,1281,-8426,-7332,-5108,-3760,-12571,-10332,-7372,2094,-9091,6647,6499,3269,-1122,
现金及现金等价物净增加额(万元),-819,-7006,-8197,-6534,-17485,-14276,-11883,4100,-14150,-12456,-7308,9911,-11273,-9898,-7763,-447,-11741,5524,2556,3740,1656,
总资产(万元),84432,71361,73316,77110,66548,65111,65781,68686,63212,64048,65968,70399,45062,44159,--,47280,--,40680,34631,30985,23105,
流动资产(万元),70457,57327,60014,63378,56668,54998,55414,58139,50675,52089,55040,62669,39000,37981,--,41496,--,35082,29364,25458,18102,
总负债(万元),29433,18497,20972,23834,15367,15048,14661,16236,12541,13772,16113,18999,16250,15431,--,20011,--,18481,18021,16490,10870,
流动负债(万元),24628,13658,16244,19190,11508,10967,10885,12494,8942,10218,12634,15536,13016,12212,--,16883,--,15734,16520,15522,10136,
股东权益不含少数股东权益(万元),54998,52863,52346,53277,51182,50065,51122,52452,50673,50278,49856,51401,28813,28728,--,27269,--,22199,16610,14495,12236,
净资产收益率加权(%),2.49,-0.78,-1.78,2.4,-1.6,-3.79,-2.57,2.87,-0.56,-1.34,-3.28,11.68,5.51,5.21,-4.74,20.5,--,28.8,25.11,16.91,13.12,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
