报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
基本每股收益(元),0.12,0.09,0.02,0.19,0.18,0.17,0.04,0.47,0.21,0.16,0.03,0.16,0.1,0.06,0.04,0.17,0.41,0.08,0.03,0.32,0.16,0.11,0.01,0.27,0.14,0.04,0.01,-0.51,-0.27,-0.14,-0.1,0.02,-0.24,-0.17,-0.06,-0.19,-0.08,-0.06,0.03,0.11,0.17,0.08,-0.01,0.06,0.13,0.11,0.02,0.4,0.38,0.32,0.46,0.41,0.28,0.32,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.5,1.63,1.67,1.77,1.51,1.58,1.69,1.75,1.86,1.88,3.94,3.91,3.99,3.9,3.81,3.82,3.88,3.87,3.77,3.76,3.72,1.82,1.64,--,1.42,1.11,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.57,-0.41,0.33,-1.49,-0.12,-0.06,-0.02,-0.2,-0.12,-0.03,0.04,-0.57,-0.75,-0.11,-0.04,0.26,0.25,0.2,0.14,-0.12,-0.03,0.29,0.72,--,0.19,0.3,
主营业务收入(万元),39064,26173,10449,61956,45548,30718,11148,80126,54482,37835,14281,57145,32665,20373,10910,51447,37704,20352,8334,66040,31728,18435,6703,42662,22937,16988,9514,30774,17760,10561,3565,12716,6982,4481,1634,8630,6976,4264,2820,12794,9488,5500,1670,11273,9571,6827,2671,12303,9784,7113,11220,9072,8103,7588,
主营业务利润(万元),13346,8764,3728,20059,15412,11529,4170,21117,16433,12034,3569,15105,8857,5989,3130,14810,10133,3457,1675,12453,7588,4712,1588,10106,4916,4062,1823,2852,1780,1417,397,3042,1529,984,374,2036,1970,1074,785,3781,3037,1855,552,3277,3038,2311,849,4295,3865,2743,4417,3395,2870,2517,
营业利润(万元),7416,5157,1316,9519,8978,8248,2239,25389,10572,8247,1489,7501,4367,2693,1744,7702,6284,1071,409,3994,2275,1565,107,3797,1491,184,147,-7271,-3763,-1991,-1317,-5655,-3338,-2529,-785,-2662,-1267,-957,81,738,1121,501,-126,401,891,821,102,1441,1994,1634,2326,1921,1068,1421,
投资收益(万元),930,878,0,911,911,911,--,5871,624,562,36,419,419,37,--,358,358,358,--,807,807,807,39,2844,2591,25,25,201,16,16,16,250,250,--,--,14,14,14,14,206,206,12,12,9,9,--,--,4,4,3,6,3,-0,--,
营业外收支净额(万元),5,3,3,-87,-367,-371,-0,-594,12,8,7,608,301,170,37,845,95,38,-55,324,23,-3,0,437,354,384,33,467,229,211,63,6282,268,265,40,-26,230,185,190,90,133,129,38,28,--,-12,--,--,--,48,94,48,261,117,
利润总额(万元),7421,5160,1319,9432,8610,7877,2239,24795,10584,8254,1496,8109,4668,2862,1780,8547,6380,1109,354,4318,2299,1562,107,4234,1845,568,180,-6804,-3535,-1780,-1254,627,-3071,-2263,-745,-2688,-1037,-773,271,828,1255,630,-88,429,881,808,113,2277,1969,1682,2419,1970,1329,1537,
净利润(万元),6315,4520,1071,8166,7748,7227,1829,20594,9000,7137,1296,6966,4275,2702,1668,7530,5651,1068,342,4161,2026,1475,108,3445,1846,569,181,-6597,-3479,-1780,-1253,253,-3120,-2263,-745,-2461,-1026,-772,217,682,1072,524,-88,406,811,744,101,2104,1820,1550,2234,1974,1359,1538,
