报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.23,0.16,0.07,0.31,0.25,0.19,0.06,0.34,0.34,0.22,0.06,0.32,0.23,0.1,0.02,0.45,0.3,0.19,0.08,0.64,0.59,0.35,0.12,0.83,0.63,0.77,0.64,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.66,--,3.65,--,3.12,2.56,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.38,--,0.79,--,0.89,0.21,
主营业务收入(万元),12964,9118,4591,17686,13289,8933,3873,16957,13178,8733,3576,15378,11448,7587,3135,15694,12032,7823,3291,17328,13329,8622,3752,20643,14917,17186,17952,
主营业务利润(万元),5132,3473,1701,6640,5024,3518,1466,6926,5474,3641,1317,5905,4383,2653,1175,6565,4898,3144,1402,7454,5852,3745,1526,9049,6522,7944,7315,
营业利润(万元),1879,1302,606,2407,2091,1551,533,2904,2702,1797,482,2384,1680,795,166,3435,2432,1623,668,3661,3157,1965,659,4822,3691,4495,3788,
投资收益(万元),--,--,--,30,30,30,30,149,110,52,31,209,193,193,70,321,208,208,102,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-3,-0,0,12,5,-1,2,-17,0,0,3,91,110,21,-1,27,-56,-136,3,380,304,79,76,61,33,11,239,
利润总额(万元),1876,1302,606,2420,2097,1550,534,2887,2702,1798,485,2475,1790,816,166,3462,2376,1486,671,4041,3461,2044,735,4882,3725,4506,4027,
净利润(万元),1513,1058,491,2063,1693,1240,425,2278,2236,1475,388,2140,1506,682,138,2971,2023,1259,561,3485,2948,1744,617,4163,3169,3847,3200,
净利润(扣除非经常性损益后)(万元),1316,949,455,1793,1479,1112,369,2036,1980,1314,359,1882,1245,497,80,2676,2071,1375,559,3162,2690,1676,552,4113,--,3838,3019,
经营活动产生的现金流量净额(万元),2193,1652,1251,2197,942,190,-628,2136,1836,1210,930,3573,2232,612,378,3253,1169,554,170,4513,3694,1885,1428,3928,2294,4473,1061,
现金及现金等价物净增加额(万元),1192,1413,2101,2527,2402,532,-1740,-1481,-2652,-2546,-2526,-1189,-1455,-1090,-2224,-1156,-5806,7873,-714,5640,16571,-924,-424,324,-495,1399,186,
总资产(万元),49265,49841,49684,48355,48822,47746,44770,45293,44996,45196,43436,43333,42416,43605,48757,51238,48393,48442,47414,47996,48718,29407,--,25431,--,18023,16820,
流动资产(万元),22325,22663,26119,24591,24814,23389,20080,20296,19712,19605,17723,17472,16138,17034,21988,23416,24649,27832,27363,28744,30458,13969,--,14606,--,13780,12759,
总负债(万元),4813,5891,5837,5003,5831,5289,2559,3426,3139,4058,2673,2943,2733,4758,9828,12439,10571,11483,9814,10961,12214,11106,--,7185,--,2404,3995,
流动负债(万元),4749,5823,5765,4931,5759,5218,2488,3355,3087,4006,2621,2890,2733,3350,2580,5192,3264,4156,2486,3634,4886,6739,--,7185,--,2404,3995,
股东权益不含少数股东权益(万元),44453,43950,43847,43352,42991,42457,42212,41867,41856,41138,40763,40390,39684,38847,38929,38799,37822,36959,37601,37034,36504,18302,--,18246,--,15619,12825,
净资产收益率加权(%),3.45,2.42,1.13,4.85,3.99,2.93,1.01,5.55,5.42,3.59,0.96,5.41,3.83,1.75,0.36,7.86,5.4,3.36,1.5,15.27,16.19,9.69,3.33,24.77,--,27.44,28.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
