报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.4,0.28,0.2,0.54,0.44,0.29,0.19,0.61,0.42,0.24,0.14,0.6,0.45,0.25,0.16,1.45,0.74,0.63,0.08,1.33,0.75,0.61,0.03,1.21,1.08,0.82,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.55,6.08,--,5.34,--,4.86,3.65,2.56,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.07,--,0.83,--,0.49,0.43,0.29,
主营业务收入(万元),211139,146913,78922,278091,197742,126275,60998,313652,192368,116404,54722,239124,145676,92654,40960,207306,126760,74307,20875,159291,93279,73775,14260,141481,137970,107128,
主营业务利润(万元),139369,98018,55765,192441,140119,91627,43042,172941,110493,67207,31616,150189,92274,55181,22368,158851,94353,55030,12737,98164,57658,45291,8245,92721,79502,59060,
营业利润(万元),42456,29158,20646,57423,45706,29563,18716,64793,44276,19658,14452,49131,40627,22027,9531,66829,32888,26902,2775,51306,29008,25321,486,49414,44617,34489,
投资收益(万元),-41,-41,--,375,400,--,--,842,842,537,174,7270,6347,--,--,--,--,--,--,1400,1400,1400,--,77,38,--,
营业外收支净额(万元),-621,-549,-80,-2373,-182,148,219,174,478,5159,249,9618,7368,3840,298,2544,1300,404,141,3696,3047,402,368,684,544,61,
利润总额(万元),41834,28609,20566,55049,45524,29711,18935,64967,44754,24817,14701,58749,47995,25868,9829,69373,34189,27306,2916,55002,32055,25722,854,50098,45161,34550,
净利润(万元),33796,23687,16888,46244,37271,24817,15712,52087,35471,19952,11740,50956,37935,20820,6705,58531,29448,23935,2760,47730,27051,22041,981,43690,38965,29606,
净利润(扣除非经常性损益后)(万元),28957,20006,15462,37101,29552,17285,11980,46901,30201,15075,11390,35755,25842,17570,6455,56609,28348,23594,--,43607,23475,20708,--,43115,38506,29543,
经营活动产生的现金流量净额(万元),3890,9449,-737,36740,27913,7726,448,85319,26888,24326,9525,1583,-22900,-31577,-28434,-32390,-35547,-16354,-11489,38632,31665,29727,-5669,17468,15425,10471,
现金及现金等价物净增加额(万元),-8400,-13906,-9896,45158,-8218,-7467,-9323,59305,-919,-11939,16406,-14650,902,-10535,-22964,78308,72844,127669,-21868,-9957,-13689,-12694,-10553,51288,6964,-6764,
总资产(万元),850027,823867,832578,818193,744385,713093,700994,688606,636585,595248,629942,641899,628790,593904,591885,594967,523775,525024,347656,360408,--,308446,--,325104,212748,143979,
流动资产(万元),523493,518807,535013,521777,501736,491506,483482,452255,420602,393642,431783,440114,461419,418904,419714,423894,358389,361008,184662,196671,--,161898,--,183520,100232,82655,
总负债(万元),331469,315482,317192,319865,254976,236091,217343,220691,185226,159713,187273,211236,210898,196609,187195,196811,154856,161445,147840,143147,--,116216,--,150405,80830,51670,
流动负债(万元),280450,284273,282003,284360,240641,221495,202467,206241,170875,145246,172652,196461,196224,180946,171284,180994,148193,154650,140763,135981,--,103441,--,135714,63084,30083,
股东权益不含少数股东权益(万元),517169,507040,514134,497259,488339,475972,482644,466944,450333,434770,441904,430124,417079,399962,407030,400299,371165,365615,201662,218850,--,193004,--,174964,131273,92309,
净资产收益率加权(%),6.57,4.65,3.34,9.59,7.68,5.18,3.31,11.61,8.01,4.53,2.69,12.27,9.05,5.07,1.66,18.01,9.41,8.6,1.25,24.01,14.35,11.85,0.56,28.53,34.85,38.2,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
