报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),-0.02,-0.08,-0.05,-1.38,-0.03,0,0.01,-0.44,-0.12,-0.04,-0.04,0.06,-0.14,-0.08,-0.17,0.06,0.03,0.02,0.01,0.06,0.03,-0.09,-0.14,-0.36,0.02,0.09,0.1,0.75,0.5,0.35,0.23,1.02,0.31,0.79,0.53,0.06,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,2.38,--,--,4.94,4.95,4.94,4.93,4.9,4.79,4.73,4.88,5.26,5.33,8.11,8.01,7.77,7.62,3.74,3.52,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-0.1,--,--,-0.54,-0.86,-0.71,-0.77,-1.02,-1.21,-0.67,-0.69,-1.36,-1.12,-1.13,-1.37,-2.11,-1.75,-1.3,0.29,-0.61,0.35,-0.14,0.05,
主营业务收入(万元),5072,1281,1135,17259,18487,15688,6912,30990,25817,18082,8697,36209,26572,18021,6132,53345,35174,24468,11180,51358,32308,16905,6029,28587,25744,18602,11780,48027,31957,21857,11392,43540,18048,27723,16094,5068,
主营业务利润(万元),1202,69,215,6004,7133,6173,3707,11532,10120,7518,3503,14162,11663,7955,2806,24931,16510,11054,4993,23953,15715,7981,2600,12255,12562,9171,5671,23272,16500,11119,5219,20409,7983,13088,7173,2060,
营业利润(万元),-340,-2812,-1567,-47316,-34,1455,1241,-15123,-3978,-1390,-1492,1493,-5448,-3191,-3067,512,89,-124,128,910,283,-1496,-2071,-6758,85,1434,1318,8612,5114,3134,2168,9794,3583,6807,3741,404,
投资收益(万元),-288,-186,-18,-1920,-336,-296,-74,-99,494,-320,-172,14510,-282,-193,-45,-107,-73,-38,0,1,1,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,
营业外收支净额(万元),-48,-8,-1,-426,-10,-6,-0,685,307,311,10,-7,3,-6,-3,236,10,9,1,-7,1,-1,-3,208,317,98,35,136,148,107,-1,140,-13,58,-5,-7,
利润总额(万元),-388,-2819,-1568,-47742,-43,1448,1240,-14437,-3671,-1079,-1481,1486,-5445,-3197,-3070,748,100,-115,130,903,284,-1498,-2074,-6550,402,1532,1353,8748,5262,3241,2167,9933,3570,6865,3736,398,
净利润(万元),-558,-2679,-1556,-44196,-1101,56,155,-14181,-3748,-1407,-1353,1968,-4534,-2615,-2686,912,531,325,185,913,407,-1374,-2304,-5839,350,1499,1068,7174,4625,2965,1826,8158,2472,5572,3044,229,
净利润(扣除非经常性损益后)(万元),-520,-2674,-1557,-40858,-1093,61,156,-15750,-4910,-1668,-1386,-9991,-4536,-2610,-2683,241,--,313,--,707,--,-1372,--,-6005,--,1413,--,6969,--,2857,1820,8019,2482,5504,3048,234,
经营活动产生的现金流量净额(万元),97,-354,1086,9445,7382,6269,1468,-1899,3296,-4026,-6662,-1308,-5151,-3305,-4465,-11677,-8680,-13760,-11349,-12248,-16342,-19306,-10725,-11057,-21841,-17979,-12089,-14665,-22503,-18688,-10392,2305,-4898,2818,-1114,408,
现金及现金等价物净增加额(万元),-48,-173,648,-2236,-681,-1604,-1959,-11589,-10776,-10887,-10559,-6076,-9315,-6149,-6589,-5845,-15488,-11826,-6966,-20428,-20536,-14676,-11231,-4286,-12969,-11688,-9671,38619,38390,36322,-9969,4617,-1752,6262,557,488,
总资产(万元),67766,66288,70284,69824,115321,110882,111910,111596,131524,142301,149598,159341,164543,163469,161354,165169,150876,154984,153478,151430,146377,133399,125300,127792,130842,128762,123807,124443,125027,118290,63175,64061,49198,40146,21652,8817,
流动资产(万元),51205,48933,52287,51438,95345,90144,90774,90073,109949,121488,128724,138780,139992,139707,137859,142466,128508,134637,134556,133509,129817,125283,119855,121907,126700,124816,120095,120830,121202,114567,59814,60658,46991,38391,20082,7067,
总负债(万元),45933,46494,49314,47260,49508,43907,44876,45263,49603,57409,64648,73009,84542,81418,78802,84886,69974,73788,72364,70416,65709,54416,48514,49775,46635,43407,37275,38987,42119,37043,33216,35927,26751,19686,16490,6733,
流动负债(万元),45824,44666,39135,38029,38180,43651,44528,44822,49111,56828,63979,72253,84542,77480,74863,80966,69974,73788,72364,70416,65709,48464,42571,43841,40710,37490,31367,33086,36119,37043,33216,35927,26751,19686,16490,6733,
股东权益不含少数股东权益(万元),19652,17521,18643,20200,63295,64443,64537,64382,77163,79505,79558,80912,74395,76314,76723,79409,78988,79240,79101,78916,78424,76643,75713,78017,84207,85355,86532,85457,82908,81247,29959,28134,22447,20251,5100,2056,
净资产收益率加权(%),-2.8,-16.55,-8.01,-104.66,-1.72,0.09,0.24,-19.36,-4.74,-1.75,-1.69,2.46,-5.88,-3.35,-3.46,1.15,0.67,0.41,0.16,1.16,0.52,-1.78,-3.1,-7.13,0.41,1.74,1.24,11.77,8.77,7.81,6.28,33.53,11.5,50.29,85.06,11.14,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
