报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.04,0.03,0.01,0.08,0.07,0.02,0.02,0.18,0.15,0.04,0.04,0.03,0.1,0.03,0.07,0.48,0.22,0.13,0.1,0.24,0.21,0.15,0.09,0.19,0.14,0.12,0.11,0.1,0.09,0.07,0.02,0.07,0.05,0.05,0.02,0.91,0.86,0.86,0.01,-0.04,0.07,0.06,0.02,-0.21,0.03,0.02,0.01,0.03,0.2,-0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.9,1.77,1.73,1.72,1.7,1.7,1.66,1.65,1.83,1.83,0.79,0.78,0.81,0.8,0.82,0.8,1.04,1.04,1.02,1.01,1.55,1.35,1.27,1.24,1.37,1.15,1.13,1.12,1.55,1.62,1.52,1.57,1.53,1.51,1.47,1.47,1.29,1.31,1.45,1.44,1.7,1.74,2.34,2.39,2.39,2.59,2.63,2.62,2.38,2.28,2.12,2.02,2.21,1.52,1.21,1.05,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.13,-0.25,-0.15,0.14,0.08,0.25,-0.11,0.06,-0.15,-0.11,0.1,0.49,0.52,0.37,0.09,0.08,0.06,0.12,0.2,-0.08,-0.25,-0.26,-0.08,0,--,0,--,-0.22,0,0,0,0.18,0,-0.22,0,-0,0,0.01,0,-0.34,--,-0.02,--,0.47,0.13,-0.39,-0.13,-0.23,--,0.17,--,--,--,--,--,--,
主营业务收入(万元),299597,198519,95095,396440,228249,135101,55328,277178,149559,93237,46922,231448,117597,73171,43799,188761,103193,71196,44265,149753,92922,62880,36979,130553,82009,52225,20405,64147,45990,29025,15354,58152,37749,25140,13415,42170,26550,17265,9824,34096,24669,16998,9828,37196,25137,16919,9773,29586,17509,10701,6072,18566,12207,7857,4287,13421,11207,9014,1706,26580,6044,5472,4355,3287,2950,1933,996,3999,3070,2396,677,20209,4759,13514,5473,11681,5739,12902,5431,9774,3987,7484,6777,4438,
主营业务利润(万元),56067,35815,16018,79103,57530,35270,17408,69758,39267,24588,12159,50622,34914,21224,9335,59606,30355,20164,10113,46200,26721,16758,8725,38777,21208,12896,8159,25961,15809,10560,5765,21836,13577,8855,5009,16153,9945,6448,3850,14467,9377,6090,3719,13498,8708,6138,3689,10659,6641,4244,2429,8237,5457,3418,1971,4652,5297,4245,-5,2686,1731,1764,1614,96,181,166,185,-27,25,43,44,2452,683,4096,1638,4418,2122,5320,2057,802,375,951,805,1125,
营业利润(万元),4249,2957,1909,2427,3975,1224,2088,9964,8469,2618,1619,-1335,6710,1334,1332,14784,5217,2547,2876,4815,4093,2736,2106,4101,2292,1821,1748,-168,-348,789,448,1172,1475,1138,518,16017,16293,16039,153,760,1325,1080,553,-43,379,377,169,2338,3137,-447,49,-519,-54,-259,323,-2738,624,1502,-514,-765,-978,-414,534,-2912,-1843,-1187,-364,-6759,-2533,-1764,-562,-1108,-1043,-1064,-625,-405,257,2197,798,807,0,1057,885,1261,
投资收益(万元),148,59,--,-272,-363,-363,35,-302,939,1,40,44,34,36,-0,4,56,41,--,287,369,319,163,1145,972,972,42,-27,-27,40,40,3,3,3,--,17871,17871,17871,--,0,--,--,--,129,--,--,0,3831,3931,187,0,766,893,894,-9,-1943,-354,-428,-378,2366,2577,1776,239,3166,-1228,-1557,126,-436,-2,-109,-59,1587,1224,1876,1081,2012,998,1181,519,1532,611,1216,533,0,
营业外收支净额(万元),139,-25,-4,2208,426,290,164,1781,575,452,266,-778,-100,837,1076,476,1735,1388,131,1474,920,878,598,503,670,555,232,2292,1918,400,-213,-576,-356,-125,-383,1705,-252,-10,70,-1185,-128,-115,-207,-3892,--,-49,--,-2057,--,--,6,-339,-30,0,-0,-2113,0,0,1,-37,0,0,-4,72,219,229,242,0,39,38,0,-21,-28,135,0,49,0,0,0,0,0,0,0,0,
利润总额(万元),4387,2931,1905,4636,4401,1514,2252,11745,9044,3069,1884,-2113,6610,2171,2408,15259,6952,3935,3007,6289,5013,3614,2704,4604,2962,2376,1981,2124,1570,1189,236,595,1119,1014,135,17722,16041,16028,224,-424,1197,965,346,-3936,243,328,159,281,3126,-444,55,-92,809,608,314,-6794,-220,1050,-892,1564,1603,1370,769,337,-2852,-2514,5,-7076,-2496,-1835,-623,458,153,948,455,1656,1292,3418,1316,3089,956,2259,1415,1230,
净利润(万元),2921,1940,755,5991,4927,1656,1260,11107,9074,2758,2347,1632,6047,2132,2235,14914,7059,4026,3007,6224,5105,3706,2721,4114,2931,2339,1978,1858,1602,1214,293,1232,892,944,260,16199,15369,15358,223,-630,1212,980,346,-3818,579,426,236,568,3477,-228,122,-247,884,944,234,-6026,-934,357,-869,1117,945,643,30,550,-2696,-2412,58,-6904,-2445,-1835,-623,458,154,600,156,1575,1210,3027,1182,2963,812,2259,1415,1230,
