报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.15,0.11,0.05,0.22,0.17,0.12,0.06,0.16,0.12,0.08,0.04,0.13,0.1,0.07,0.04,0.13,0.1,0.12,0.05,0.19,0.14,0.11,0.06,0.24,0.18,0.13,0.13,0.52,0.42,0.33,0.15,0.71,0.32,0.68,0.5,0.32,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,3.12,--,--,4.18,4.11,4.08,4.03,3.98,3.94,3.94,3.88,3.83,3.77,7.72,7.58,7.48,7.38,3.39,3.24,2.85,2.53,2.25,1.95,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-0.02,--,--,-0.04,0.01,-0.12,0.04,-0.2,-0.21,-0.22,0.21,-0.02,0.03,-0.31,0.1,-0.26,-0.11,-0.28,0.59,-0.11,0.73,1.42,-0.28,
主营业务收入(万元),40011,25710,12568,52742,38517,24806,11269,46966,33428,20809,9194,38918,27976,17947,8289,36906,26710,17540,8590,35308,25719,16471,7652,33861,24910,15937,7471,30326,22014,14573,6896,30309,14116,26637,20522,18010,
主营业务利润(万元),11120,7252,3445,14530,10780,6973,3101,12124,8520,5275,2372,9791,7154,4699,2169,10202,7559,4913,2434,9244,6864,4581,2151,9975,7498,4833,2209,9164,6722,4437,2049,9273,4227,8291,6148,5366,
营业利润(万元),4208,3004,1329,5900,4808,3480,1536,4328,3116,1986,968,3080,2511,1944,1042,3038,2537,1471,800,2700,2316,1781,850,3030,2666,1895,904,2999,2257,1586,637,4008,1908,3469,2752,1833,
投资收益(万元),1257,901,515,1177,912,780,567,915,647,508,368,879,642,490,260,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,5,
营业外收支净额(万元),78,47,90,208,112,95,92,300,579,411,187,665,632,186,6,608,385,368,15,281,114,46,49,763,329,244,160,608,546,410,247,258,201,607,450,194,
利润总额(万元),4286,3051,1419,6108,4920,3574,1627,4628,3695,2397,1155,3745,3143,2130,1047,3646,2922,1839,815,2981,2430,1828,899,3793,2995,2139,1065,3608,2804,1996,885,4267,2110,4076,3202,2028,
净利润(万元),3870,2773,1307,5451,4150,3041,1430,4098,3097,2022,1001,3328,2626,1784,897,3099,2459,1559,684,2569,1858,1411,737,3227,2469,1757,880,3051,2327,1669,737,3582,1622,3396,2534,1626,
净利润(扣除非经常性损益后)(万元),3675,2667,1194,4547,3573,2590,1166,2969,2255,1440,727,2167,1657,1331,756,2553,--,1228,--,2298,--,1361,--,2553,--,1548,--,2534,--,1327,515,3283,1466,2879,2153,1469,
经营活动产生的现金流量净额(万元),-5745,-5134,-3288,5028,-1478,-306,92,6379,-213,-954,-724,4202,724,-573,-1719,4615,-563,166,-1595,516,-2618,-2841,-2969,2843,-288,398,-2070,694,-1749,-761,-1407,2939,-565,3654,7106,-1279,
现金及现金等价物净增加额(万元),-16737,-13976,-10143,12994,-5951,4469,-2442,5015,-651,-1785,-1896,-22068,-20877,-24105,-24104,17189,-3909,-1915,-3298,-4220,-7065,-4141,-4563,-4708,-6878,-3560,-3387,20179,19571,30636,1058,468,-1074,602,2387,118,
总资产(万元),116888,116176,117894,113253,109583,104106,101716,100280,98064,95085,94355,92900,91116,89442,88716,88952,69026,68146,65677,66843,65187,67993,65845,67241,64898,66602,64615,64627,62768,70894,38892,33738,31608,29945,26021,21418,
流动资产(万元),59420,59296,61845,72057,69707,65736,69638,70120,69487,67517,67563,67016,64575,63246,63203,63734,45494,44798,42146,43652,41848,44606,42606,44372,43341,44673,44746,45886,47289,55202,24422,21091,21198,19932,16643,15416,
总负债(万元),22199,22712,25139,23824,21285,17875,16386,16386,15147,13250,12920,12467,11385,10525,10078,11206,12572,12610,10279,12128,11177,14431,12351,14493,12844,15274,12123,13030,11917,20715,21020,16608,16380,16309,14378,12399,
流动负债(万元),22182,22694,25120,23804,21264,17852,16308,16253,14958,13006,12620,12112,11084,10492,10045,11171,12536,12572,10240,12088,11136,14389,12306,14448,12844,15274,12123,13030,7781,16578,17320,14640,16380,16309,14378,12399,
股东权益不含少数股东权益(万元),94255,93029,92321,88997,87862,85807,84925,83494,82493,81419,81026,80025,79322,78481,78196,77299,56006,55105,54686,54002,53292,52844,52760,52023,51265,50553,51686,50806,50082,49423,17015,16278,14318,12696,11309,8775,
净资产收益率加权(%),4.19,3.02,1.44,6.31,4.87,3.58,1.7,5.02,3.81,2.5,1.24,4.23,3.35,2.28,1.15,5.6,4.46,2.85,1.26,4.85,3.53,2.68,1.41,6.3,4.83,3.42,1.72,9.1,8.33,9.75,4.43,24.73,12.01,27.16,25.23,20.59,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
