报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
基本每股收益(元),0,0.01,0.06,0.03,0.1,0.08,0.04,0.11,0.09,0.07,0.03,0.1,0.07,0.05,0.04,0.15,0.07,0.06,-0.02,0.2,0.12,0.07,0.05,0.07,0.1,0.08,0.03,0.12,0.09,0.03,0.01,0.01,0.07,0.11,0.06,1.56,1.09,0.69,0.33,1.3,0.94,0.18,0.66,0.51,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,3.97,--,--,3.88,5.88,5.8,5.82,5.74,5.7,8.69,8.64,8.87,8.86,9,8.97,8.94,8.88,8.87,8.86,8.91,9.1,18.41,18.29,17.78,17.38,3.54,3.21,--,0,2.01,1.55,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.06,--,--,0.04,0.1,0.01,0.25,0.19,0.18,0.11,0.39,0.24,0.18,-0.02,0.55,0.16,0.16,0.06,-0.5,-0.85,-0.67,-0.78,0.8,1.06,0.61,0.63,1.25,--,0.01,0.83,0.41,
主营业务收入(万元),76286,52239,26590,88274,63724,27417,12489,48083,33358,23217,11263,47147,33405,24051,12401,40976,24241,13824,4562,40854,28503,17664,8985,30934,22236,14847,6523,36628,27779,18860,9762,30674,20476,13480,6414,31445,21347,12207,5693,21878,14884,2841,13585,9594,
主营业务利润(万元),35104,23987,12199,38143,28246,11954,5356,19622,13256,9231,4115,18985,12946,9147,4833,20052,12664,7289,1981,20758,14402,8664,4094,14393,10357,6836,3029,15244,11281,7054,2954,11632,8542,6701,3328,21004,14600,8428,3937,15449,10715,1956,8483,5566,
营业利润(万元),1647,1575,3817,3411,6229,4604,2617,6639,5171,3910,1807,4818,4044,3110,2352,8146,4020,2423,-849,6918,4674,2750,1328,2499,2754,2120,537,1382,1468,515,327,188,1164,2572,1342,16044,10994,6281,2938,11428,8295,1552,5797,3706,
投资收益(万元),381,303,147,1380,1226,1358,858,2087,2614,1715,588,3750,2211,1222,690,3381,2189,1468,335,220,143,105,19,172,--,--,--,306,280,181,62,114,40,40,40,67,--,--,0,81,61,0,129,70,
营业外收支净额(万元),198,205,-14,3,-117,-55,-4,-402,183,175,120,71,141,115,18,510,233,124,32,979,177,236,70,428,235,221,280,1455,802,155,70,391,1046,149,77,604,395,294,87,165,106,--,0,0,
利润总额(万元),1845,1781,3803,3414,6112,4548,2612,6237,5355,4085,1927,4889,4185,3225,2371,8656,4253,2547,-818,7898,4851,2986,1398,2927,2989,2341,817,2837,2270,670,397,579,2210,2721,1419,16648,11390,6575,3025,11593,8400,1552,5765,3690,
净利润(万元),166,637,2712,1337,4546,3623,2018,5020,4122,3184,1503,4616,3284,2404,1835,6831,3102,1875,-679,5908,3618,2246,1006,1485,2038,1659,574,2334,1721,549,256,282,1434,2213,1120,13932,9445,5435,2501,9758,7018,1319,4952,3420,
净利润(扣除非经常性损益后)(万元),-470,175,2565,-721,2906,2278,1174,2340,1728,1449,667,2272,1258,1109,1260,3602,--,590,--,4824,--,1982,--,970,--,1454,--,1248,--,430,--,-107,--,2090,--,13900,0,5196,2427,9560,--,1319,4870,3370,
经营活动产生的现金流量净额(万元),689,4470,1275,15766,921,-6631,-1290,1817,144,565,1093,9088,1768,2722,2358,7830,1842,2940,186,7393,5841,5375,2214,7893,4782,3594,-399,10946,3256,3152,1116,-10094,-16914,-13456,-7827,7989,10647,6134,4703,9358,6083,83,6261,3059,
现金及现金等价物净增加额(万元),-2078,13252,4438,-3994,4391,23554,-1473,-4570,16479,-9059,1755,-9553,7864,-10382,14505,-83413,-824,3258,-178,80,-2553,634,1557,-4227,-2772,-2635,-1260,4249,-1367,-6619,-6907,-35691,-33383,-16264,1577,134891,148125,145415,2011,3070,3221,-629,976,5891,
总资产(万元),219309,214803,220198,218046,224948,233161,223972,223598,215433,215021,213161,218946,215560,214637,216211,208986,196271,194454,190974,192717,193991,192095,191819,190451,193302,193667,196327,196904,195583,196459,198158,196717,196437,197177,204016,190462,182737,177698,33886,29409,--,0,20634,14157,
流动资产(万元),53957,65140,71630,68775,87582,134908,140616,141320,136109,140879,139984,147211,148886,147473,148127,142160,132160,128803,126594,127283,125873,126666,125918,124855,125688,125954,136190,136558,136284,138797,140378,139212,145131,162506,172629,168245,165606,162101,18947,17662,--,--,12135,9597,
总负债(万元),51712,55349,51804,52690,57746,37481,29891,31531,24163,24667,24407,31683,28749,28431,30579,24825,13448,9816,8986,9843,13438,12907,9906,9436,7014,7664,7464,8623,7864,9998,11963,10697,8962,5952,10890,7601,4960,3932,7335,5360,--,--,5593,2568,
流动负债(万元),42590,46708,44860,46342,46081,32575,25001,26592,19306,19828,19603,27577,24962,24625,26822,21460,12331,8674,7865,8686,12598,12165,9162,8886,6630,7280,7081,8240,6008,9565,11529,10264,8872,5312,10299,7011,4320,3882,7295,5320,--,--,5593,2568,
股东权益不含少数股东权益(万元),154489,148305,157131,154419,157915,188705,187100,185081,184184,183246,181558,180062,179496,178616,177816,176212,174715,176487,173933,174612,172321,170950,173710,172704,177341,177135,180050,179476,178863,177692,177358,177142,178295,182074,184134,182861,177777,173766,26550,24049,--,0,15041,11589,
净资产收益率加权(%),0.11,0.41,1.74,0.78,2.43,1.94,1.08,2.75,2.26,1.75,0.83,2.57,1.85,1.36,1.04,3.9,1.78,1.07,-0.39,3.41,2.09,1.3,0.58,0.84,1.14,0.93,0.32,1.31,0.97,0.31,0.14,0.16,0.79,1.21,0.61,12.06,0,10.7,0,49.14,--,0,35.53,53.19,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
