报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.19,0.11,0.05,0.02,0.05,0.07,0.05,-0.88,0.05,0.06,0.03,0.05,0.04,0.05,0.02,0.06,0.06,0.07,0.03,0.1,0.08,0.09,0.05,0.09,0.07,0.09,0.04,0.15,0.12,0.13,0.07,0.27,0.15,0.16,0.09,0.36,0.2,0.2,0.09,0.64,0.41,0.33,0.64,0.54,1.12,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,4.33,4.34,4.38,4.31,4.18,4.18,5.32,5.23,5.07,5.08,6.15,6.37,6.16,2.39,2.15,1.61,2.08,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,-0.34,-0.03,0.07,-0.44,-0.36,0.05,0.16,-0.7,-0.66,-0.57,-0.34,-0.31,-0.27,-0.33,-0.08,0.08,-0.35,
主营业务收入(万元),136907,89075,42750,153168,113876,73552,36138,150355,113598,78956,39577,148427,109625,70864,36799,164213,121301,84454,41769,175815,125662,87803,45864,184439,128327,89706,45803,156933,104910,74223,37225,134815,88570,60627,32845,114306,73886,50325,26290,87987,59156,42637,76889,60649,38038,
主营业务利润(万元),66943,45652,21115,81132,61024,40806,19314,84962,60500,42305,21505,80161,56370,38222,19538,86372,58628,40344,19847,89419,62102,43852,20930,87136,60488,41145,20623,72135,50071,36142,18158,69570,43735,31433,15665,54080,34825,24793,11897,41353,27109,19278,34500,25323,13482,
营业利润(万元),11901,7099,2471,2485,2701,3358,2329,-32652,2705,2965,1521,2670,2233,2662,1321,2731,2668,3260,1653,4803,4028,4515,2218,4822,3903,4342,2286,7817,5891,6407,3398,14278,7517,7664,3349,13347,7123,7177,2875,12904,7932,6237,11846,10162,5201,
投资收益(万元),-131,-123,-31,-907,-373,-237,80,-691,-55,-34,-9,17,14,3,5,-32,-2,-24,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,-0,--,--,
营业外收支净额(万元),215,119,2,-185,-4,67,30,193,132,150,122,258,218,177,122,591,516,509,-2,527,118,118,13,128,110,120,-17,66,-25,-25,-3,-194,20,22,21,307,301,302,303,167,82,60,95,-57,8,
利润总额(万元),12116,7218,2474,2301,2697,3425,2359,-32459,2837,3115,1643,2928,2451,2840,1443,3322,3184,3769,1651,5331,4146,4633,2231,4951,4014,4461,2269,7883,5866,6382,3395,14084,7537,7685,3370,13655,7424,7479,3178,13072,8014,6297,11941,10105,5209,
净利润(万元),10508,6084,2138,893,1973,2950,1924,-35205,1920,2231,1154,2084,1754,2016,923,2253,2369,2702,1222,3595,2882,3333,1682,3402,2643,3105,1610,5583,4179,4760,2517,9944,5555,5714,2564,10030,5518,5702,2437,11382,6816,5351,10294,8571,4773,
