报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.07,0.01,-0.01,0.12,0.11,0.03,0.04,0.31,0.2,0.13,0.05,0.22,0.15,0.09,0.05,0.28,0.16,0.08,0.06,0.48,0.27,0.17,0.1,0.48,0.28,0.2,0.25,0.84,0.54,0.39,0.45,1.26,0.78,0.54,0.3,0.82,0.51,0.37,0.23,0.82,0.52,0.42,0.38,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.07,4.76,4.6,9.15,8.68,8.22,7.98,7.98,7.69,7.42,7.27,2.7,2.58,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.87,0.04,-0.28,-0.46,1.66,0.96,0.03,-0.26,0.97,0.64,0.08,0.01,0.8,--,1.15,0.31,
主营业务收入(万元),1222347,814214,405749,1930207,1421824,907337,460139,1874174,1338524,838479,395961,1684094,1182277,738675,327661,1609809,1165531,734170,348700,1844492,1319417,822517,401917,1666112,1114330,649926,291658,1063957,729215,446758,210289,783600,527941,314279,143957,524838,364779,229381,112218,397538,275309,360718,227031,
主营业务利润(万元),220031,141146,67701,355685,261469,167744,98937,448170,322090,207037,98415,415853,296854,197990,90093,390678,266195,169032,81864,405010,279376,180814,89143,345151,220262,136903,65196,227867,153051,99546,51052,168242,111588,71028,36098,120017,81957,54022,28145,95548,65518,73720,48242,
营业利润(万元),35133,8066,-3370,63075,55402,15550,23024,157703,103461,64671,24855,102957,69458,45009,16849,77479,40329,20165,9477,91212,48347,31047,18880,92909,51241,37121,23650,80668,50737,37158,22013,60472,37676,26281,14531,35695,23244,15867,9283,31733,20441,16769,10312,
投资收益(万元),5999,-5998,-5143,31719,30917,2832,2622,29953,10077,8976,3278,8520,8973,5707,2139,12533,9987,1273,642,1413,-533,-375,-133,257,105,-141,-22,455,328,244,65,130,328,282,80,655,-6,-58,3,-149,2,-13,-160,
营业外收支净额(万元),5634,-665,648,2489,-808,-496,-280,-989,-973,-474,717,8817,4058,2326,774,9013,5377,4144,2744,5951,4459,3971,1539,4217,2523,1810,799,3485,1828,1360,290,1842,1176,1014,537,2025,724,144,-230,1650,941,--,--,
利润总额(万元),40767,7401,-2722,65564,54594,15053,22744,156714,102489,64197,25572,111774,73516,47335,17623,86492,45706,24309,12220,97163,52806,35018,20418,97127,53764,38931,24449,84154,52565,38518,22304,62314,38852,27294,15068,37720,23968,16010,9053,33383,21382,17416,11404,
净利润(万元),30204,3362,-3885,50691,44059,10399,18087,126521,83949,52466,19224,88268,59513,36803,13754,70555,39411,20621,10172,79568,43864,28498,15981,76913,44690,32024,19741,67511,43267,31165,17885,50376,31277,21770,11912,31123,19582,13639,7920,27875,17535,14395,10859,
