报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.21,0.17,0.16,0.62,0.54,0.33,0.25,0.94,0.58,0.43,0.21,0.94,0.35,0.96,0.42,0.55,--,0.22,
每股净资产(元),--,--,--,--,--,--,--,6.82,--,6.31,--,6.08,5.49,5.29,3.28,--,--,5.04,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,1.38,--,--,--,1.95,--,1.19,--,--,--,0.68,
主营业务收入(万元),108457,73948,38548,162016,119368,76552,34890,155710,106546,72258,30784,121664,52097,116691,56345,97580,95179,77467,
主营业务利润(万元),24156,16580,9536,42848,32622,20154,9766,39859,25967,18392,8564,35523,14508,36338,16507,23920,22411,15283,
营业利润(万元),5131,3913,4009,14133,12021,6809,4805,17985,11091,7175,4053,16664,6835,17613,8225,8919,8845,3084,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,36,--,160,149,640,8,--,
营业外收支净额(万元),-45,17,17,-78,-68,-29,12,-267,-265,858,-0,1824,116,298,3,410,48,409,
利润总额(万元),5086,3929,4026,14055,11954,6780,4817,17718,10826,8032,4053,18488,6951,17911,8228,9329,8893,3493,
净利润(万元),4729,3761,3450,12524,10509,6008,4176,15530,9536,7037,3387,15470,5727,15054,6309,7884,6777,3069,
净利润(扣除非经常性损益后)(万元),3807,3313,2888,11882,9883,5694,3997,14601,8716,6388,3325,13989,5629,14720,6283,--,--,2807,
经营活动产生的现金流量净额(万元),15900,8137,9975,18277,7156,5268,5133,22756,17387,9642,4441,32194,12311,19656,10208,13818,12384,9309,
现金及现金等价物净增加额(万元),5117,78531,3895,11109,19036,34920,-4061,11163,7804,1174,-4054,-5604,-4970,4181,-4705,1918,3029,-1385,
总资产(万元),375911,371891,294087,288104,292134,299504,241659,233745,--,202255,--,193244,146724,127263,139533,112402,109549,101170,
流动资产(万元),173835,172608,99030,95404,107724,120168,81230,80513,--,61649,--,61458,49139,50568,74725,48081,41297,35261,
总负债(万元),153020,149969,86628,84092,90135,102016,124908,121159,--,98154,--,92874,56107,39902,90320,69510,70398,69555,
流动负债(万元),66438,60991,54600,49557,53605,63448,79746,78834,--,63984,--,78334,47362,30180,89468,67014,56347,59302,
股东权益不含少数股东权益(万元),222892,221922,207459,204013,201999,197488,116751,112585,--,104101,--,100371,90616,87361,49213,42892,33489,26712,
净资产收益率加权(%),2.32,1.84,1.68,7.3,6.5,4.23,3.64,14.66,9.07,6.85,3.32,16.59,6.44,23.12,13.7,20.76,--,12.19,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
