报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.1,0.1,0.05,0.05,0.08,0.1,0.07,0.48,0.3,0.23,0.1,0.68,0.39,0.36,0.15,0.76,0.43,0.6,0.89,0.79,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.56,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,1.06,--,1.97,--,0.77,2.58,-0.14,0.53,
主营业务收入(万元),142701,93071,53866,180294,137365,91425,53243,170530,125294,83617,47973,154061,112902,76806,44656,145691,107820,137832,129001,114137,104950,
主营业务利润(万元),25901,17848,9229,33510,24684,17428,9345,32533,23246,15972,8577,30164,21661,15554,8479,29151,20637,25979,23165,22314,20479,
营业利润(万元),1437,1493,772,908,1226,1531,755,5184,2926,2362,995,5164,3004,2705,1105,5396,2958,2804,4236,5431,5393,
投资收益(万元),55,55,55,--,--,--,0,64,64,64,64,100,100,100,100,120,120,151,145,161,428,
营业外收支净额(万元),19,20,0,70,-2,--,--,-15,305,135,42,940,1157,192,13,656,448,1977,2851,851,664,
利润总额(万元),1456,1514,772,978,1224,1531,755,5170,3231,2497,1037,6104,4160,2897,1117,6052,3406,4781,7087,6281,6057,
净利润(万元),1098,1142,589,586,900,1137,559,3867,2390,1875,783,4555,3109,2178,876,4569,2577,3609,5328,4721,4347,
净利润(扣除非经常性损益后)(万元),851,1049,544,35,472,947,543,3351,2128,1764,752,3850,2253,2033,867,4075,2241,2115,3188,4110,3488,
经营活动产生的现金流量净额(万元),11424,7357,8004,13753,6336,-281,-543,14183,8700,4339,5504,13152,11399,6348,5572,11826,8218,4624,15484,-843,2637,
现金及现金等价物净增加额(万元),2363,4515,5840,-5044,756,-3422,-4456,-3237,1403,-1785,-2669,5428,2967,831,2086,-2342,-1623,1053,2246,159,-366,
总资产(万元),184579,179631,177498,173728,152239,147734,147080,158494,154159,143068,143030,151258,133753,123786,--,126956,--,123284,116543,86279,69295,
流动资产(万元),63514,59782,58639,53946,58516,53159,52087,63249,59879,49567,49072,56911,49569,43646,--,46897,--,49444,48632,41778,29951,
总负债(万元),123133,118141,116560,113380,91577,86835,85558,97532,94675,84098,83784,92796,76736,88228,--,93576,--,94474,91342,66406,54143,
流动负债(万元),122178,117229,115621,112507,90780,86015,84766,96794,93968,83427,83095,92090,76348,87838,--,93181,--,90035,84356,57433,43242,
股东权益不含少数股东权益(万元),61446,61490,60937,60348,60662,60899,61521,60962,59485,58970,59246,58463,57017,35557,--,33380,--,28810,25201,19873,15152,
净资产收益率加权(%),1.8,1.87,0.97,0.97,1.48,1.85,0.91,6.49,4.05,3.17,1.33,10.72,8.9,6.32,2.59,14.69,8.56,13.36,23.64,26.96,50.84,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
