报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.3,0.03,0.02,0.35,0.33,0.19,0.14,0.61,0.57,0.46,0.29,0.93,0.7,0.4,0.35,0.73,0.15,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.98,--,3.68,--,--,--,2.7,2.19,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.27,--,0.19,--,-0.76,--,-0.3,-0.21,--,--,--,
主营业务收入(万元),41532,21069,9625,53126,39248,24850,11239,45129,33565,23692,13225,44667,30888,19754,11570,30632,13122,15665,12716,6950,
主营业务利润(万元),19491,9528,4246,23921,18036,11349,4937,22182,16609,11639,6344,22503,15901,9848,5859,15496,7271,10395,8028,4759,
营业利润(万元),4779,393,167,5473,5017,2940,1408,5187,4629,3641,2162,5749,4421,2871,2751,4268,429,2306,2145,886,
投资收益(万元),633,426,228,1103,699,430,193,95,3,3,2,19,4,2,1,68,49,--,--,--,
营业外收支净额(万元),8,13,6,23,14,5,9,192,96,19,147,1778,1204,288,44,703,491,1172,394,773,
利润总额(万元),4788,406,172,5496,5030,2944,1418,5379,4724,3661,2309,7527,5625,3159,2795,4971,919,3478,2539,1659,
净利润(万元),4098,442,229,4848,4455,2546,1250,4601,4016,3171,1979,6386,4788,2732,2395,4301,856,3123,2202,1451,
净利润(扣除非经常性损益后)(万元),3629,196,-349,3677,3709,2088,1036,3930,3649,3000,1927,5724,--,2614,2357,4005,696,3022,2099,1162,
经营活动产生的现金流量净额(万元),5191,356,-1058,3746,-1066,-5333,-1715,3153,2161,1873,-443,1328,-645,-5223,-4618,-2044,-1412,4063,-455,319,
现金及现金等价物净增加额(万元),694,-3689,-195,-4496,-1455,-10455,-1990,10760,32507,3185,3218,1610,354,-2671,-3938,1579,2541,2859,941,568,
总资产(万元),100272,88493,88260,88776,86563,82834,76544,80177,78534,48484,48495,46133,--,--,--,37656,26406,16644,12806,6749,
流动资产(万元),86216,77431,77372,82361,81969,79563,73495,77166,76455,46362,46476,44260,--,--,--,34999,23784,15270,11682,6296,
总负债(万元),36260,28245,26954,27797,26074,24352,16718,21699,20739,21223,21224,20937,--,--,--,19204,11399,6959,6244,2750,
流动负债(万元),36183,28155,26819,27624,25857,24090,16409,21343,20337,20622,20690,20362,--,--,--,18605,10754,6180,5426,2750,
股东权益不含少数股东权益(万元),64012,60248,61306,60979,60489,58482,59826,58479,57796,27262,27272,25196,--,--,--,18452,15008,9685,6562,4000,
净资产收益率加权(%),6.57,0.73,0.38,8.17,7.45,4.26,2.11,12.61,13.49,12.04,7.56,29.5,--,13.79,12.19,32.95,7.97,38.45,42.68,44.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
