报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.07,0.03,0.01,0.32,0.18,0.09,0.01,0.3,0.13,0.06,0.03,0.29,0.12,0.07,0.04,0.88,0.4,0.63,0.22,3.11,2.32,1.68,--,2.68,1.69,1.02,--,1.38,0.79,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,3.54,--,--,6.7,14.5,14.85,14.63,13.84,13.17,--,6.76,--,--,--,4.08,2.83,2.6,1.81,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-0.31,--,--,-0.38,-0.82,-1.06,2.9,-0.5,-0.41,--,2.13,--,-0.29,--,1.81,0.61,-0.44,-0.15,
主营业务收入(万元),59530,38684,19016,107178,68936,42788,15213,110305,68946,40596,18722,88943,54672,34566,14929,91160,58343,38088,14641,108043,73471,48475,--,84582,57138,36625,14305,60505,33957,21498,13662,
主营业务利润(万元),21881,13600,6710,39610,26223,16812,6216,42100,27247,16071,7110,35518,22791,14622,6544,35572,21146,13942,5351,42751,31517,20523,--,33233,22651,13950,14305,22252,14225,8997,6021,
营业利润(万元),2045,490,-37,13504,7205,4095,240,11559,3893,2620,615,9703,4441,1817,736,14464,6135,4231,1143,24792,18309,11795,--,17975,12154,7257,3116,10217,6311,4272,1876,
投资收益(万元),1951,1324,541,2506,2121,1575,661,2820,2023,1348,848,943,1052,865,695,3052,743,751,99,13,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),1177,778,371,1827,1761,420,135,993,653,448,657,3686,1759,1659,81,5216,3073,2775,1276,3799,2630,2261,--,5229,3369,1561,--,2021,677,267,244,
利润总额(万元),3222,1268,334,15331,8967,4515,375,12552,4546,3068,1272,13388,6200,3476,817,19681,9208,7006,2419,28591,20939,14056,--,23204,15523,8818,3881,12238,6987,4538,2120,
净利润(万元),2949,1127,214,13327,7706,3661,212,12517,5390,2568,1084,11959,5207,2883,839,18358,8264,5994,2095,26437,18937,12608,3500,20118,12668,7622,3290,10334,5891,3866,1755,
净利润(扣除非经常性损益后)(万元),201,-725,-591,9466,4230,1911,-522,11688,5592,1171,396,10894,4310,2135,163,15199,--,5898,--,25680,--,12147,3117,19009,--,6781,2639,8998,5327,3747,1624,
经营活动产生的现金流量净额(万元),-7961,-9454,-10488,815,-24231,-28401,-20351,10294,-18413,-19262,-15683,9883,-13508,-12840,-12561,10552,-7844,-7811,-10106,27525,-4794,-3872,-6562,15953,-593,-2166,-5889,13577,4538,-2787,-618,
现金及现金等价物净增加额(万元),-29576,-33104,-31629,7423,-18717,-17565,-21020,-22461,-52616,-49344,-29265,28103,49855,50727,-6649,-44061,-7990,-7260,-27807,62795,55421,70197,--,13655,-2149,-3141,-6198,11931,4334,2434,338,
总资产(万元),190502,186386,197838,201263,193132,191306,193147,196954,187087,186166,194927,181290,169856,168730,171488,175407,160129,164895,159184,163290,145288,155277,67504,63817,--,--,--,36099,27315,21394,10154,
流动资产(万元),166237,161570,172621,177566,168971,172985,174620,178020,167086,161078,169172,168739,157030,156254,159102,163712,135413,139935,134366,153945,142659,154446,66760,63073,--,--,--,35566,26766,21017,10024,
总负债(万元),13013,10609,21101,25076,22595,23582,26998,30926,27939,28236,34193,22400,17498,18566,18406,23020,17904,24829,15682,21803,13802,30121,13305,13117,--,--,--,5517,6068,5037,2842,
流动负债(万元),12144,9633,20016,23884,13243,14119,17507,21328,16197,15711,17515,20662,15602,16646,16462,21052,15479,22363,13176,19258,13136,29455,12639,12151,--,--,--,5217,5768,4977,2842,
股东权益不含少数股东权益(万元),176320,174632,175649,175126,169519,167088,165517,165393,158251,155439,158138,157062,150307,147982,150938,150099,140029,137758,141080,138985,131486,125157,54199,50700,--,--,--,30582,21248,16357,7313,
净资产收益率加权(%),1.68,0.64,0.12,7.79,4.57,2.19,0.13,7.78,3.41,1.63,0.69,7.81,3.46,1.91,0.56,12.65,5.87,4.22,1.5,27.87,23.44,22.12,--,49.5,--,22.16,--,39.12,30.92,36.22,30.99,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
