报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.87,0.62,0.21,0.89,0.58,0.39,0.1,0.59,0.26,0.32,0.36,0.42,0.18,0.19,0.44,0.38,
每股净资产(元),--,--,--,4.14,--,3.64,--,3.25,2.91,1.79,4,2.33,2.1,1.92,2.01,2.02,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.54,0.47,
主营业务收入(万元),414534,249225,104731,367360,233960,145945,55174,199977,92953,90943,27386,20277,6018,12568,13777,12607,
主营业务利润(万元),28910,18859,7481,30211,20381,13344,5175,19763,8644,11988,5648,9634,4625,8939,9352,8360,
营业利润(万元),14934,9716,3160,14176,9368,6204,1568,8254,3250,2896,1518,1446,643,781,1798,1430,
投资收益(万元),0,0,1,-12,-4,-4,--,--,--,--,2,--,--,--,50,110,
营业外收支净额(万元),380,232,128,91,7,4,14,2,-5,216,96,153,20,68,22,3,
利润总额(万元),15313,9948,3288,14267,9374,6207,1582,8257,3244,3112,1614,1599,663,849,1820,1434,
净利润(万元),9863,6501,2190,9386,6124,4154,1076,5875,2466,2622,1154,1201,518,578,1446,1141,
净利润(扣除非经常性损益后)(万元),9634,6345,2113,9271,6118,4152,1064,5828,2463,2481,1057,1076,500,520,1464,1141,
经营活动产生的现金流量净额(万元),1254,2009,-13922,7730,-17831,-1589,-14598,-8795,-17485,-6751,-3235,-222,-252,-968,1766,1533,
现金及现金等价物净增加额(万元),51105,3503,-13197,8953,-15574,67,-15129,14785,3390,-594,1922,69,221,-1889,-135,3915,
总资产(万元),171319,98374,95297,84026,74175,70632,62673,62146,50558,46497,19888,11823,8556,7838,10530,10755,
流动资产(万元),168118,94731,91683,80406,70557,67002,59226,58914,46635,42684,16564,8340,5910,5119,6838,7287,
总负债(万元),64444,44331,46354,37664,31550,30358,25909,26582,19481,31405,6577,5114,2530,2330,3920,4090,
流动负债(万元),64444,44331,46319,37594,31550,30358,25909,26582,19481,31405,6577,5114,2530,2330,3920,4090,
股东权益不含少数股东权益(万元),102327,50181,45870,43680,40417,38448,35370,34294,30687,14762,13310,6709,6026,5508,6610,6664,
净资产收益率加权(%),20.29,13.85,4.89,24.08,16.39,11.42,3.09,21.03,10.79,20.89,10.57,19.66,8.98,9.33,19.57,20.1,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
