报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.66,0.38,0.12,0.72,0.39,0.28,0.11,0.59,0.22,0.42,0.16,0.67,0.2,0.44,0.35,0.05,
每股净资产(元),--,3.85,--,3.59,--,3.15,--,2.99,2.62,2.55,2.47,4.89,2.87,2.67,2.23,1.88,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.05,0.02,
主营业务收入(万元),22826,14484,4871,26879,17038,11043,3997,23539,9746,17523,7617,15435,5032,11760,8746,5078,
主营业务利润(万元),13766,8553,2929,16044,10212,6581,2405,14044,5922,10212,4287,8279,2866,5376,4657,2150,
营业利润(万元),9772,5674,1889,10833,6093,4098,1777,9206,3404,6349,2541,4870,1464,2935,2397,300,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),296,222,19,119,126,117,0,6,57,157,5,64,0,212,30,27,
利润总额(万元),10068,5895,1908,10953,6220,4215,1777,9212,3461,6506,2546,4934,1465,3146,2426,327,
净利润(万元),8682,5083,1632,9515,5219,3658,1479,7820,2909,5577,2115,4250,1215,2670,2083,294,
净利润(扣除非经常性损益后)(万元),8365,4851,1614,9321,5043,3513,1479,7723,2861,5443,2111,4185,1215,2458,2058,271,
经营活动产生的现金流量净额(万元),2091,3677,-1494,782,-5614,-3483,-1569,5390,-3582,2026,-108,2980,1045,3348,-289,124,
现金及现金等价物净增加额(万元),-2890,-996,-3996,-2193,-7704,-5259,-1567,1153,-7805,-580,-3208,14713,5620,2092,-372,-15,
总资产(万元),69993,64864,64167,62780,55545,52291,53000,51783,45341,46557,39557,40212,26385,21190,18785,14750,
流动资产(万元),61527,56697,56824,57916,51831,48868,49741,48461,41923,43208,36668,38163,24428,19295,17844,13842,
总负债(万元),15415,13915,16700,15189,12254,10567,11867,12132,10525,10615,7292,7880,9140,5159,5425,3473,
流动负债(万元),15316,13792,16551,15013,12051,10338,11611,11848,10188,10224,6847,7433,8687,4856,4950,3193,
股东权益不含少数股东权益(万元),54498,50861,47372,47492,43203,41631,41034,39548,34695,35807,32265,32332,17245,16030,13361,11277,
净资产收益率加权(%),17.06,10.28,3.42,21.96,12.61,8.9,3.66,21.13,8.1,16.57,6.55,17.57,7.04,17.95,16.91,2.64,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
