报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1993-12-31,
基本每股收益(元),0.01,-0.01,-0.01,-0.03,-0.01,0,0,0.01,0.03,0.02,0.01,0,0.01,-0,-0,-0.07,-0,0,0.01,0.01,0.03,0.02,0.01,-0.07,0,-0,-0,0.01,0,0,0,-0.01,0.01,0,0,0.01,0.01,0,0,0.02,0,-0,0,-0.14,0.01,0,0,-0.17,-0.03,-0.02,-0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.72,0.69,0.69,0.69,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.69,0.67,0.82,0.81,0.81,0.81,0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.97,1.05,1.07,1.07,1.07,1.11,1.11,1.1,1.06,1.06,2.16,2.1,2.06,2.07,3.64,3.53,5.48,1.86,1.53,1.44,1.17,0.79,0.78,1.17,1.39,1.55,1.34,1.46,1.5,1.91,1.87,2.06,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01,-0.01,-0.01,0.02,-0,-0.04,-0.04,0.21,0.2,-0,-0.01,0.06,-0.1,0.01,0.03,0.07,0.06,0.07,0.02,0.03,0.03,0.05,0.03,-0.04,0,0,0,-0.01,0,0,0,0.05,0,0,--,0.08,0,0,0,0.33,0,0.35,--,0.16,0.32,0.18,0.17,0.03,-0.11,-0.03,-0.06,--,--,--,--,--,--,--,--,
主营业务收入(万元),28579,17398,6777,39551,28141,18090,8604,34605,28638,19731,10707,32731,21988,13202,5897,23784,17584,10870,4699,24123,18479,13181,7476,20875,16141,10757,5126,26247,17895,11510,5724,24414,17335,11727,6049,20837,14044,8896,4393,19408,13828,8611,3983,17941,12227,8301,4255,28129,19684,10779,4514,28108,19104,11725,4690,20574,14164,9602,5333,31148,25093,18086,12992,37566,30001,21163,11747,47008,38005,21764,12180,36676,18967,18725,10194,10525,4875,51,163,20671,18658,8353,2113,5916,6951,8202,6234,
主营业务利润(万元),20961,12628,5350,29499,21084,13586,6993,25984,19401,12780,6756,21034,14091,8159,3684,14603,10969,6829,2988,13977,10612,7584,4782,10236,7988,5419,2368,12477,8277,5268,2530,11374,8109,5633,2976,9507,6652,4304,2210,8130,4288,2661,1813,-151,4743,3159,1594,4403,4362,2635,723,7851,5499,3440,1269,3323,2086,1440,1372,8748,9927,8019,6059,13075,10860,7732,4363,13812,12258,7901,5322,12339,6311,6505,3678,3097,1067,-18,6,8,1423,-2878,-960,-996,276,627,685,
营业利润(万元),1570,-1107,-1398,-2881,-661,589,804,1850,3894,2066,1409,-102,1585,-257,-172,-10865,1166,437,1154,133,3332,2667,1512,-9126,520,198,-102,1783,1281,738,148,325,1542,789,378,643,565,381,228,2351,263,-32,470,-15042,653,395,120,-11512,-2968,-2452,-1915,1230,390,288,81,-7054,-3918,-1685,72,2074,7314,7074,5906,9757,9029,7851,3066,11324,11539,8407,4029,9578,5583,5481,3387,2612,95,-1984,-954,29,0,-2874,0,-762,0,672,685,
投资收益(万元),-12,-8,-4,17,24,4,1,2285,2243,2243,0,-1214,0,--,0,270,248,248,193,736,531,338,0,485,0,0,0,300,0,0,--,-544,22,-119,-55,115,--,--,--,2096,621,553,122,513,187,80,--,-364,--,0,0,-82,0,0,0,1745,2006,2006,0,-50,0,0,--,-65,0,0,0,0,0,0,0,2,0,125,103,0,0,-602,-39,1361,1361,95,-360,-654,227,1257,1725,
营业外收支净额(万元),-7,44,11,-148,-94,-79,-52,-167,11,-7,30,1378,-27,-66,-5,1335,-1990,103,-1,-89,7,0,3,-285,-325,-325,-326,328,181,30,14,144,78,-33,-5,237,-28,-1,--,57,-60,-53,2,951,--,--,--,--,--,-213,-0,6,0,0,0,-5083,0,0,0,-52,0,0,9,-151,-39,0,0,-12,0,-8,0,23,0,0,0,1260,0,--,0,0,-23,0,0,-13,0,0,--,
利润总额(万元),1563,-1063,-1387,-3029,-755,510,752,1683,3905,2058,1438,1277,1559,-324,-176,-9530,-824,540,1153,44,3339,2667,1516,-9411,194,-127,-428,2110,1463,767,163,469,1620,756,373,880,537,380,228,2409,203,-85,471,-14090,860,507,120,-17822,-3182,-2666,-1915,1154,390,288,81,-10392,-1910,322,74,1972,7268,7028,5915,9540,8990,7806,3070,11312,11532,8400,4029,9603,5543,5678,3589,3872,77,-3124,-989,851,2764,-2938,-1344,-1429,568,1999,2403,
净利润(万元),948,-937,-1279,-2944,-939,103,357,729,3362,1909,1071,447,1037,-491,-96,-7445,-462,410,1010,596,2869,2287,1283,-7071,198,-118,-295,1007,318,151,20,-596,557,214,123,765,687,397,238,2334,219,-85,422,-13987,757,476,139,-17684,-2982,-2467,-1862,716,218,150,42,-10354,-1902,79,45,1122,5160,5011,4268,6897,6484,5449,2142,8569,8403,6026,2885,7638,4401,5302,3573,3872,77,-3124,-986,579,2773,-2863,-1344,-1429,483,1842,2042,
