报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),3161597,1982160,820799,3814277,3594033,2077936,1031481,4093702,3815695,2303707,1066771,4915976,3735051,2134905,789616,3959489,3863049,2496800,1242612,6323767,4900500,3524983,1697171,8132856,7161695,4781289,2232702,9540759,7489471,5225764,2164831,6976057,4116814,2515131,1066610,3864418,2518289,1626046,739908,2100628,173221,114018,36877,276803,173443,113908,52143,292703,201136,126335,42124,198115,164221,108930,42571,
营业成本(万元),2553420,1580590,666155,3050211,3061099,1795014,923247,3502538,3453599,2083650,987027,4540304,3582571,2049960,732336,3722956,3649527,2345122,1169908,6009321,4672876,3365896,1622170,7719116,6865604,4577700,2119350,8983140,7078510,4926870,2027259,6461177,3742083,2283374,968456,3513012,2268655,1473575,678006,1868580,160312,105825,33844,258195,159027,104195,47961,277589,185757,116814,38812,184761,151569,100329,38792,
营业利润(万元),231580,165017,66336,287407,223676,112137,31199,209750,127380,71888,19934,120249,-32575,-35349,-469,-200669,10704,14607,8729,-139622,46222,34661,18330,116287,105731,82850,54521,233283,193972,152510,78011,245702,212041,125916,54635,200271,151070,93008,32716,138059,1108,831,473,445,1319,974,474,711,2073,1216,561,2003,4166,2702,1386,
利润总额(万元),222440,157057,65682,239642,220025,109655,28751,195459,120065,68224,19273,105667,-32216,-35037,-207,-204399,9647,13403,7834,-142561,46372,35015,18560,113233,102731,80468,53370,225920,190282,150228,76593,238718,205864,123408,52870,196320,146391,93156,31283,135033,1157,816,450,811,1461,1028,474,1467,2045,1238,536,1966,4169,2697,1386,
所得税费用(万元),76603,52507,20978,98435,75048,37508,11766,86655,46710,26901,6508,40251,9098,5163,2455,22009,10550,7308,3977,16495,21084,15685,6340,42380,31401,21652,10927,76199,63232,46413,21642,71808,54453,34145,14112,61417,42922,27087,10083,39624,61,160,174,451,300,372,90,774,-71,-3,169,618,1583,969,530,
净利润(万元),145838,104551,44704,141206,144977,72146,16986,108804,73355,41323,12765,65416,-41315,-40200,-2662,-226408,-903,6095,3857,-159057,25288,19330,12220,70853,71330,58817,42443,149721,127050,103815,54951,166910,151411,89263,38759,134904,103469,66068,21200,95409,1096,655,276,359,1160,655,384,693,2116,1242,367,1347,2586,1727,856,
基本每股收益,0.4,0.26,0.11,0.11,0.26,0.14,0.02,0.19,0.09,0.05,0.01,0.16,-0.25,-0.22,-0.03,-1.2,-0.04,0,--,-0.87,0.04,0.03,0.03,0.12,0.17,0.3,0.26,0.77,0.67,0.57,0.31,1.45,1.38,0.77,0.29,1.01,0.79,0.53,0.15,1,0.04,0.02,0.01,0.01,0.04,0.02,0.01,0.02,0.07,0.04,0.01,0.04,0.08,0.05,0.03,
货币资金(万元),580888,856472,642404,1021691,729352,865460,927899,1055121,411824,377710,480575,569640,480529,401051,483632,626072,560269,531492,517512,321150,396531,466869,267868,264981,258392,215066,336548,303404,320979,437594,790795,845155,330726,344186,427669,422621,321003,269156,231831,193012,18536,15640,10669,13645,12359,10395,7904,14274,6181,7885,10635,10492,
应收账款(万元),279163,297802,322579,296482,350002,355748,333979,327693,537541,541824,570508,534107,639764,658200,692422,660582,709127,710610,769872,615267,889908,920051,809361,746441,1125143,1192348,1228051,962149,839459,647423,524386,406841,428935,333198,205976,196829,353803,409185,212169,173690,51795,52634,50266,55098,47822,46671,45297,50512,28843,26730,28368,29445,
存货(万元),190951,153372,181724,166399,161466,162416,165537,171064,166836,180758,190319,207623,262838,258946,269410,273174,334187,354481,319849,311445,601532,588563,451652,420555,373944,381658,401879,452493,436678,385799,365251,389551,303999,247057,233184,223880,237125,173205,133909,82583,71923,63977,73289,71192,68945,59614,61997,71818,96419,88124,110876,102703,
流动资产合计(万元),1632064,1927598,1939288,2122571,1912089,2194498,2175476,2171966,2130040,1919735,2008911,2104722,2545168,2442194,2569171,2683234,2934536,2847890,2860996,2536716,3041204,2978956,2512821,2519550,2984114,2881613,2985388,2719655,2661598,2513475,2748785,2507414,2144776,1812686,1617049,1505231,1559800,1427623,1082782,915467,146705,136097,138295,144913,143329,129562,125669,145763,146825,136865,162338,152508,
固定资产净额(万元),--,1315938,--,1329214,1218669,1162388,1171417,1178356,1035461,1046743,1045054,1053074,999717,1008181,1018294,1026514,904366,891890,902345,907688,877141,871782,871691,865147,657461,661090,662409,663487,617356,613718,540310,546255,194018,188403,166328,161275,131496,130155,126648,127520,19887,20249,20984,21768,21209,21710,22242,22993,25399,25179,22121,22819,
资产总计(万元),4394646,4659108,4653831,4833526,4537062,4607210,4594292,4589793,4508977,4302790,4401131,4486006,4926855,4818084,4931093,5048995,5227716,5120966,5121477,4779749,5230310,5128152,4613155,4604776,4927036,4767282,4808049,4533789,4361015,4000956,3709273,3460210,2863831,2502166,2290026,2165550,2152968,2001612,1650076,1473242,174180,163317,166105,173741,171855,158669,155129,175695,180917,170289,191975,182578,
流动负债合计(万元),2341047,2735806,2794449,3016082,2790653,2624041,2635938,2651702,2675327,2782019,2961046,3134646,3664686,3538693,3586408,3753892,3571430,3545446,3615338,3359371,3588657,3293115,2908662,2904951,3164816,3089552,3220955,2997185,2705450,2442012,2087534,1866576,1813883,1513080,1316257,1257462,1279005,1221872,884133,786819,109649,99835,103001,110926,108065,95416,92157,113109,116451,106695,127716,119143,
非流动负债合计(万元),906084,811866,816221,820450,894221,1014988,1048449,1046275,962412,736563,684217,607520,612842,628556,659423,615647,718404,629045,568912,493898,517464,731361,604486,617815,663508,555454,455858,456983,477459,496857,485174,492954,477358,478113,486151,434769,433727,389475,382309,329620,--,0,--,--,1,1,1,1,0,0,0,0,
负债合计(万元),3247131,3547672,3610670,3836533,3684874,3639028,3684387,3697977,3637739,3518583,3645263,3742166,4277529,4167249,4245830,4369540,4289834,4174491,4184250,3853269,4106121,4024476,3513147,3522766,3828324,3645006,3676813,3454168,3182909,2938869,2572708,2359530,2291241,1991193,1802407,1692231,1712732,1611347,1266442,1116439,109649,99835,103001,110926,108066,95416,92157,113109,116451,106695,127716,119143,
所有者权益(或股东权益)合计(万元),1147515,1111436,1043161,996993,852188,968182,909904,891816,871238,784207,755868,743840,649326,650834,685263,679456,937882,946475,937227,926479,1124189,1103676,1100007,1082009,1098712,1122275,1131236,1079621,1178106,1062087,1136565,1100680,572590,510973,487618,473319,440236,390265,383634,356802,64530,63482,63104,62815,63789,63253,62972,62585,64465,63594,64259,63435,
期初现金及现金等价物余额(万元),618419,618419,618419,897443,896129,896129,896129,276832,276832,276832,276832,328167,328167,328167,328167,181760,181760,181760,181760,208763,208763,208763,264981,293649,303404,293649,303404,852996,852996,852996,845155,432547,422621,422621,422621,193012,193012,193012,193012,101676,13645,13645,13645,14274,14274,14274,14274,10492,0,--,0,10263,0,0,--,
经营活动产生的现金流量净额(万元),161793,119776,62473,376103,120890,74838,38585,545068,63532,18994,42248,391057,78711,16430,4872,58050,9952,14915,44192,99196,91993,25972,87794,115414,21483,50692,94045,-63958,-119366,-85810,-54222,59316,-15171,-29665,-21036,111959,69324,79635,24889,-37261,5471,2368,-2832,1175,-952,-3143,-6021,941,-730,479,627,1466,456,509,363,
投资活动产生的现金流量净额(万元),-54363,-45706,-33818,-478218,-258040,-15247,-9287,-31064,-24997,-16028,-12652,-43026,-25146,-23135,-14225,-81701,-65122,-56110,-53075,-116939,-81467,-70228,-40590,-245419,-133997,-91019,-74324,-767540,-547984,-490987,-41052,-267176,-111592,-63177,-25580,-164041,-86219,-56733,-35357,-120668,-227,-114,-16,-1126,-621,-420,-199,3393,-3155,-2770,-366,-106,633,1190,2801,
