报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),35632,25627,9809,29940,13535,6987,3386,22257,12362,6454,3586,25424,15369,11008,5314,26462,16082,10605,4932,44017,36495,28559,5055,55276,15800,10335,4088,32361,17882,12452,6343,28990,20894,13807,7845,45700,30339,21121,11661,34046,22121,15993,6770,40101,29834,19505,9999,64575,36032,29115,12945,28596,17721,11804,5241,
营业成本(万元),30620,22039,8077,20166,8656,4821,2229,13966,7669,4135,2115,15646,9814,6617,3038,15505,9338,6188,2984,28263,24582,19629,3892,37087,12618,8281,3092,26996,15093,10814,5740,24512,17578,11743,6978,39423,27195,18716,10116,32381,20080,14232,6487,30745,22385,14390,7525,49327,28688,22961,10611,21640,13279,9055,3938,
营业利润(万元),2196,458,-299,3282,218,-1152,-466,3981,1022,-1125,-715,2154,-989,-821,-120,226,-1276,-1330,-478,1516,873,-53,-1250,5561,-3157,-2835,-1456,1417,-4053,-3308,-1938,1061,1836,2218,-1383,439,-2425,-1756,-868,-9864,-3682,-1533,-1849,1122,1411,1165,293,5136,1411,2308,481,2264,369,106,30,
利润总额(万元),1536,-198,-953,3134,217,-1153,-466,3578,1014,-1138,-715,2892,-1079,-916,-117,2615,-1088,-1198,-218,1484,804,58,-1139,5854,-3085,-2843,-1452,1663,-4073,-3300,-1938,1339,1847,2182,-1383,1612,-2230,-1795,-929,-9194,-3114,-986,-1828,1503,1288,1134,287,4955,1395,2328,480,2591,395,135,50,
所得税费用(万元),567,552,231,1347,837,361,195,1471,753,297,214,1235,489,344,241,868,268,164,95,919,710,558,23,2292,43,15,-9,26,16,21,15,46,64,40,20,156,219,202,168,-82,87,59,13,527,425,347,118,2057,734,731,157,613,58,64,10,
净利润(万元),969,-750,-1184,1787,-620,-1514,-660,2106,260,-1435,-928,1657,-1568,-1260,-358,1748,-1355,-1362,-313,565,94,-500,-1161,3562,-3128,-2858,-1444,1637,-4089,-3322,-1953,1293,1783,2143,-1404,1457,-2449,-1997,-1097,-9112,-3201,-1046,-1841,976,864,788,169,2898,661,1596,323,1978,337,71,40,
基本每股收益,0.01,-0.01,-0.02,0.04,-0.01,-0.04,-0.02,0.06,0.02,-0.03,-0.02,0.04,-0.03,-0.02,-0.01,0.04,-0.03,-0.03,-0.01,0.03,0.02,-0,-0.03,0.09,-0.08,-0.07,-0.04,0.07,-0.09,-0.08,-0.05,0.06,0.05,0.06,-0.04,0.04,-0.06,-0.05,-0.03,-0.23,-0.09,-0.03,-0.05,0.03,0.03,0.02,0,0.09,0.01,0.03,0.01,0.06,0.01,0.01,0,
货币资金(万元),16741,4291,6605,16614,15434,16082,20400,23870,18275,23978,23290,28409,9374,8612,20461,18898,9127,7758,5295,5750,6089,8819,6189,13710,8027,8013,12256,27373,9793,6144,4758,8102,8460,6415,6400,13871,11631,17959,14122,11170,13133,15428,11122,9450,7944,5915,12610,12728,8724,14150,8370,9692,
应收账款(万元),1133,1189,863,900,1196,1152,1333,1142,3845,3747,3853,3532,3309,3123,2529,2646,4780,4834,4244,4085,5099,5234,4640,4376,1897,1640,1133,4809,2150,2272,2474,2995,3790,3558,3058,4231,6911,7020,5997,6309,7082,8235,8263,10046,11454,10785,10384,10098,10537,10470,11706,11672,
存货(万元),18818,20689,20519,21007,26100,25697,26171,27432,30779,32570,32860,33758,38455,39712,41630,43171,44001,45199,45904,46770,49549,50233,61044,61509,70554,68353,64812,64107,65311,64088,61399,60221,54970,49686,46459,45572,52868,55390,50928,51091,43961,44020,37358,38509,22910,37277,51121,43632,30101,29967,32554,35715,
