报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业收入(万元),211139,146913,78922,278091,197742,126275,60998,313652,192368,116404,54722,239124,145676,92654,40960,207306,126760,74307,20875,159291,93279,73775,14260,141481,137970,107128,
营业成本(万元),67861,46133,21658,79051,52487,30800,16313,135568,78270,46955,22369,84851,51975,36526,18372,45415,30621,18143,7744,58820,34245,27537,5845,47101,56821,47007,
营业利润(万元),42456,29158,20646,57423,45706,29563,18716,64793,44276,19658,14452,49131,40627,22027,9531,66829,32888,26902,2775,51306,29008,25321,486,49414,44617,34489,
利润总额(万元),41834,28609,20566,55049,45524,29711,18935,64967,44754,24817,14701,58749,47995,25868,9829,69373,34189,27306,2916,55002,32055,25722,854,50098,45161,34550,
所得税费用(万元),7718,4646,3493,8709,8155,4835,3187,12647,8896,4638,2735,9083,11074,5659,3410,11396,5398,3817,414,8597,5950,4192,130,7616,6700,4943,
净利润(万元),34117,23963,17073,46340,37370,24876,15748,52320,35858,20179,11966,49666,36920,20209,6419,57977,28791,23489,2503,46405,26105,21531,724,42482,38461,29606,
基本每股收益,0.4,0.28,0.2,0.54,0.44,0.29,0.19,0.61,0.42,0.24,0.14,0.6,0.45,0.25,0.16,1.45,0.74,0.63,0.08,1.33,0.75,0.61,0.03,1.21,1.08,0.82,
货币资金(万元),218392,213060,214450,225486,170552,171459,170297,179767,119374,108000,137194,117817,160012,138381,138894,170140,128132,183560,34929,56634,50790,63484,12196,5233,
应收账款(万元),140881,150539,149700,114735,123006,105736,109570,105920,95673,82781,68885,55660,49377,37600,29334,23739,42812,32282,6505,5203,6324,976,2343,2134,
存货(万元),100978,107042,116159,121772,164268,166699,148420,115242,130944,131439,137317,138732,155585,155316,154429,137843,106977,95128,79572,75285,76574,73034,67507,55502,
流动资产合计(万元),523493,518807,535013,521777,501736,491506,483482,452255,420602,393642,431783,440114,461419,418904,419714,423894,358389,361008,184662,196671,161898,183520,100232,82655,
固定资产净额(万元),--,136456,--,141144,125516,119088,121455,120428,117110,114106,110201,112170,111017,115192,115468,114208,112507,112430,117049,118372,73465,80757,49600,40963,
资产总计(万元),850027,823867,832578,818193,744385,713093,700994,688606,636585,595248,629942,641899,628790,593904,591885,594967,523775,525024,347656,360408,308446,325104,212748,143979,
流动负债合计(万元),280450,284273,282003,284360,240641,221495,202467,206241,170875,145246,172652,196461,196224,180946,171284,180994,148193,154650,140763,135981,103441,135714,63084,30083,
非流动负债合计(万元),51019,31209,35188,35505,14335,14596,14877,14449,14351,14467,14621,14775,14674,15663,15910,15817,6662,6794,7077,7166,12775,14691,17746,21587,
负债合计(万元),331469,315482,317192,319865,254976,236091,217343,220691,185226,159713,187273,211236,210898,196609,187195,196811,154856,161445,147840,143147,116216,150405,80830,51670,
所有者权益(或股东权益)合计(万元),518558,508385,515386,498328,489409,477003,483651,467915,451359,435536,442669,430663,417892,397296,404690,398156,368919,363579,199816,217261,192231,174700,131918,92309,
期初现金及现金等价物余额(万元),221648,221648,223635,176490,176490,176490,176482,117185,117185,117185,117185,131835,131835,131835,131835,53527,53527,53527,52931,63484,63484,63484,63484,12196,5233,--,
经营活动产生的现金流量净额(万元),3890,9449,-737,36740,27913,7726,448,85319,26888,24326,9525,1583,-22900,-31577,-28434,-32390,-35547,-16354,-11489,38632,31665,29727,-5669,17468,15425,10471,
投资活动产生的现金流量净额(万元),-15160,-10764,-6644,-43377,-34946,-15866,-8241,-3049,12776,33267,36860,-30456,-2236,14860,6456,-44909,-6392,-2098,-1150,-6960,-6951,-5774,-2946,-17135,-23874,-14676,
筹资活动产生的现金流量净额(万元),2870,-12592,-2515,51794,-1184,673,-1530,-22965,-40583,-69532,-29979,14223,26038,6182,-986,155607,114784,146121,-9230,-41630,-38403,-36646,-1938,50954,15413,-2559,
现金及现金等价物净增加额(万元),-8400,-13906,-9896,45158,-8218,-7467,-9323,59305,-919,-11939,16406,-14650,902,-10535,-22964,78308,72844,127669,-21868,-9957,-13689,-12694,-10553,51288,6964,-6764,
期末现金及现金等价物余额(万元),213248,207741,213739,221648,168272,169023,167160,176490,116266,105247,133591,117185,132737,121300,108871,131835,126371,181195,31062,53527,49795,50790,52931,63484,12196,5233,		
		
  
