报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业收入(万元),73644,48769,21779,113028,75798,48580,20737,89577,38020,68444,51197,83806,59287,36961,
营业成本(万元),53328,35657,16010,83586,56893,37204,15913,63107,25613,47207,37986,61639,42315,24718,
营业利润(万元),10318,7261,3393,13033,8761,4278,1334,12082,5467,7963,956,6919,7042,6294,
利润总额(万元),10267,7218,3382,13267,8884,4239,1326,11906,6513,9353,1909,7024,7465,6564,
所得税费用(万元),844,620,310,1608,1173,493,268,1411,759,1081,481,895,1030,829,
净利润(万元),9423,6598,3072,11659,7711,3745,1058,10495,5754,8272,1428,6129,6434,5735,
基本每股收益,1.43,1.04,0.48,1.83,1.21,0.59,0.17,1.65,0.9,1.3,0.22,1.02,1.09,--,
货币资金(万元),25320,11682,7195,9901,9081,14371,13339,10652,6976,19492,19041,7321,
应收账款(万元),21613,21707,18465,22579,--,16166,12248,13571,7250,8666,9120,5803,
存货(万元),17537,11832,14646,13465,13401,13702,11003,10895,10434,14731,10138,7543,
流动资产合计(万元),94090,47867,44194,51217,43148,47885,38812,38317,26765,47155,41103,24082,
固定资产净额(万元),--,29363,29335,19040,16825,15726,15927,16265,13139,12951,11573,6563,
资产总计(万元),140794,86112,81240,84177,68905,68886,58356,57585,46303,62199,53957,32040,
流动负债合计(万元),26477,24929,23587,29576,24890,25078,19124,22081,18973,35901,35386,18234,
非流动负债合计(万元),4044,4070,4088,4101,1567,941,954,1051,982,693,598,611,
负债合计(万元),30520,28999,27676,33678,26457,26019,20078,23132,19956,36594,35984,18845,
所有者权益(或股东权益)合计(万元),110273,57113,53564,50499,42448,42867,38278,34454,26348,25605,17973,13195,
期初现金及现金等价物余额(万元),9901,9901,9901,14371,14371,14371,14371,10652,10652,6976,5958,4316,5467,3781,
经营活动产生的现金流量净额(万元),3082,3956,-3248,14485,4519,3995,-3695,12629,8433,7031,296,6454,5790,5861,
投资活动产生的现金流量净额(万元),-42494,-6611,-3719,-14657,-12089,-6948,-1164,-4436,-1559,-2619,-4034,-3414,-4577,-3849,
筹资活动产生的现金流量净额(万元),54422,4267,4310,-4265,-3084,-2154,0,-4001,-4012,-1178,4431,-1227,-2213,-339,
现金及现金等价物净增加额(万元),15419,1781,-2706,-4470,-10874,-5291,-5130,3719,2687,3676,1018,1642,-1151,1686,
期末现金及现金等价物余额(万元),25320,11682,7195,9901,3498,9081,9241,14371,13339,10652,6976,5958,4316,5467,		
		
  
