报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),19992,14268,8038,54004,38956,26621,14211,104085,73677,56595,16555,68263,48735,32584,14988,115504,73333,31926,13917,194701,136746,85220,28597,92369,46388,29255,15063,60825,37552,18620,9667,90045,28628,17641,5942,80387,62431,35722,10669,45407,28340,22103,8678,41338,29342,20572,11056,48954,19245,13138,5493,9059,7262,4361,2070,
营业成本(万元),13060,9215,4665,41172,29551,20252,10877,78766,55899,44077,11204,44393,29352,23739,10967,88700,57039,29579,12343,146866,102468,66643,19522,68670,34075,19803,9345,33915,20098,8389,4221,49232,13535,8314,2940,53708,40720,24136,7359,26665,13588,10826,4225,21159,13912,10245,5668,26055,6690,4270,884,5798,4343,3108,1485,
营业利润(万元),242,1106,2075,4330,3120,2729,669,13226,7204,4968,1985,9462,-633,-2536,-2001,-6861,-1537,-9881,-3867,13658,12952,5481,5044,11538,4083,5614,2779,682,3390,2068,1198,23685,7339,4061,53,19778,14113,7773,2402,10937,10482,7676,2498,13536,10465,8242,3509,16599,8563,5884,2061,146,665,367,186,
利润总额(万元),781,1618,2089,4295,2814,2416,662,13129,7716,5293,2032,8955,-704,-2351,-1969,-7003,-1449,-9909,-3866,13634,12905,5513,5083,10614,4675,6198,2847,2598,4014,2690,1700,26750,7777,4494,438,20640,14359,7999,2553,18220,10478,7681,2500,14770,11603,9351,3517,16637,8595,5916,2061,142,664,367,186,
所得税费用(万元),-682,-364,296,-55,120,-133,-242,3280,1829,1331,518,1218,-476,-73,-97,3062,2679,-293,-312,2856,2996,1577,1946,1478,-407,418,56,-359,476,-238,785,5386,2207,1310,288,4249,2716,1501,381,2844,1551,1064,381,2134,1811,1447,547,2519,1325,927,318,20,14,0,28,
净利润(万元),1463,1981,1792,4350,2694,2549,904,9849,5886,3963,1514,7737,-228,-2279,-1871,-10065,-4129,-9616,-3553,10778,9909,3936,3137,9136,5082,5780,2791,2957,3538,2928,914,21364,5570,3183,151,16391,11643,6498,2172,15376,8927,6617,2119,12636,9793,7904,2971,14118,7270,4989,1742,122,650,367,157,
基本每股收益,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0.1,0.08,0.06,0.02,0.15,0.01,0.01,-0.01,0.01,0.03,-0.07,-0.02,0.15,0.14,0.09,0.06,0.15,0.07,0.07,0.02,0.08,0.08,0.06,0.02,0.21,0.08,0.04,0.01,0.19,0.12,0.08,0.03,0.24,0.14,0.1,0.03,0.2,0.16,0.14,0.06,0.31,0.16,0.11,0.04,0.01,0.04,0.02,0.01,
货币资金(万元),109850,165819,164716,159009,147679,129100,120821,119859,130112,129170,108397,97988,45574,50610,55604,64944,60689,76619,81539,92456,86524,49344,110687,80306,77141,89101,96494,80574,72076,80510,55851,61332,70150,125287,49299,115436,73060,43981,38841,41194,40526,39572,37032,52798,37219,27541,33708,33275,24315,17201,12062,7124,
应收账款(万元),1354,1394,1225,1141,1410,1109,1061,948,989,1079,1273,689,2456,2576,2702,2463,5043,5389,5982,7208,12713,8986,10474,9418,12128,11097,13722,11557,19506,22220,29245,29614,5109,7671,10031,7454,3270,291,2924,774,2837,6183,3352,185,3811,423,3731,509,4042,315,215,506,
存货(万元),355251,349665,343965,339734,347354,348853,348360,351851,345600,349916,373177,378685,398281,402210,409769,404155,416868,364238,364235,353820,359686,333878,361286,365492,351469,341791,313728,291712,269291,248965,214453,177772,362104,265470,260674,178155,166530,168479,100888,95649,97401,94490,77795,53624,54872,54035,46897,48342,62892,46651,44733,29044,
流动资产合计(万元),491363,539937,532719,509874,506418,487971,477267,479634,509995,512606,515077,508979,479303,488819,500370,503974,516685,535427,541426,540727,546706,489353,539804,517767,495705,496067,475324,470509,431217,418742,377610,346452,439580,400104,321649,302324,258382,222333,182500,176653,160222,148869,125658,120075,119377,89766,89351,86695,101473,74310,69716,45091,
固定资产净额(万元),--,68489,--,69779,70448,71120,71822,72481,1328,1383,1443,75319,140731,151443,153131,154994,154388,153058,154718,156379,154412,156057,157756,159499,161866,120274,121523,122780,87391,87865,88506,89229,90229,91181,92083,93022,93728,94721,95754,96743,98295,99379,100418,101497,102658,103603,107195,108292,128662,129873,131062,1063,
资产总计(万元),623736,673558,667327,657079,651167,634846,628035,630715,653531,658985,664266,658203,695123,713523,728029,735816,747977,772408,777937,778900,779156,725680,780186,761727,745421,704883,686048,676637,603141,592474,554873,523904,592796,556377,478127,460520,421109,391403,353162,349080,335424,329681,311697,308285,310388,269508,267055,266290,278295,252919,250492,96524,
流动负债合计(万元),196467,283319,270837,269036,163935,146656,131860,137163,161861,165472,161880,158535,222296,248898,250060,263099,245799,277698,269810,272830,254976,278936,306860,315562,294456,268318,234658,203652,178773,147707,160458,144858,198544,173493,90259,98855,62077,73452,74752,67984,58334,61921,45390,38669,34432,31186,39557,41057,58043,33040,31689,31247,
非流动负债合计(万元),79569,42020,48272,41618,142364,143084,149113,147878,150877,153816,163254,163380,135148,134759,147547,139870,167164,165235,172957,167737,191690,120227,145077,135053,143907,128808,145089,169474,120276,141285,107930,94568,132722,123741,131752,116213,118783,91566,55591,59120,61563,54544,53345,58773,68720,32974,35879,36585,38802,40709,42508,37192,
负债合计(万元),276036,325339,319109,310654,306299,289740,280973,285041,312738,319288,325135,321915,357444,383657,397607,402969,412963,442933,442767,440567,446666,399163,451937,450615,438363,397126,379747,373127,299049,288993,268388,239426,331266,297234,222011,215068,180860,165019,130342,127104,119897,116464,98735,97442,103152,64161,75436,77642,96844,73749,74197,68439,
所有者权益(或股东权益)合计(万元),347700,348218,348218,346426,344868,345106,347062,345674,340793,339697,339132,336288,337679,329866,330422,332847,335014,329475,335171,338332,332490,326517,328249,311112,307058,307757,306302,303511,304092,303482,286485,284477,261530,259143,256117,245452,240249,226385,222819,221976,215527,213217,212962,210843,207236,205347,191619,188648,181451,179169,176295,28085,
期初现金及现金等价物余额(万元),51257,51257,51257,34850,34850,34850,34850,97229,97229,97229,97229,63478,63478,63478,63592,92287,92287,92287,92287,79963,79963,79963,79963,73759,73759,73759,73759,55777,55777,55777,55777,114176,114176,114176,114176,40991,47655,40991,40991,47655,47655,47655,47655,33040,33040,33040,--,6542,0,6542,0,57617,0,57617,0,
经营活动产生的现金流量净额(万元),20269,4686,-1912,52943,40665,15352,1411,60270,58468,48235,18455,21726,2137,4137,-9158,4666,-5296,-14962,-13208,-20407,-34774,-11678,7078,21932,30641,48069,45611,-52505,-12645,-10389,-13727,-70036,-70754,876,-79792,-14075,-24663,-25537,1751,-18054,-8866,-8487,-20265,-9742,-13997,-1852,3000,30909,26509,14658,5531,8149,4176,3625,1538,
