报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
营业收入(万元),39064,26173,10449,61956,45548,30718,11148,80126,54482,37835,14281,57145,32665,20373,10910,51447,37704,20352,8334,66040,31728,18435,6703,42662,22937,16988,9514,30774,17760,10561,3565,12716,6982,4481,1634,8630,6976,4264,2820,12794,9488,5500,1670,11273,9571,6827,2671,12303,9784,7113,11220,9072,8103,7588,
营业成本(万元),25616,17312,6717,41607,29976,19025,6965,58758,37927,25663,10679,42549,24512,15126,7735,35583,27034,16809,6787,52651,23977,13727,5100,31830,17628,12664,7509,27813,15796,9023,3125,9630,5452,3497,1259,6586,5002,3190,2035,8983,6422,3641,1118,7899,6440,4456,1791,7941,5850,4319,6709,5602,5192,5048,
营业利润(万元),7416,5157,1316,9519,8978,8248,2239,25389,10572,8247,1489,7501,4367,2693,1744,7702,6284,1071,409,3994,2275,1565,107,3797,1491,184,147,-7271,-3763,-1991,-1317,-5655,-3338,-2529,-785,-2662,-1267,-957,81,738,1121,501,-126,401,891,821,102,1441,1994,1634,2326,1921,1068,1421,
利润总额(万元),7421,5160,1319,9432,8610,7877,2239,24795,10584,8254,1496,8109,4668,2862,1780,8547,6380,1109,354,4318,2299,1562,107,4234,1845,568,180,-6804,-3535,-1780,-1254,627,-3071,-2263,-745,-2688,-1037,-773,271,828,1255,630,-88,429,881,808,113,2277,1969,1682,2419,1970,1329,1537,
所得税费用(万元),1118,652,255,1276,863,651,410,4206,1571,1121,196,1154,394,160,112,1018,731,42,12,159,274,88,--,791,--,--,--,-204,-52,2,--,375,49,--,--,-226,-10,--,54,147,183,107,0,23,69,63,12,173,150,133,189,--,0,0,
净利润(万元),6303,4508,1064,8155,7747,7226,1829,20589,9013,7133,1300,6955,4274,2702,1668,7529,5649,1067,342,4159,2025,1474,107,3443,1845,568,180,-6601,-3482,-1782,-1254,252,-3120,-2263,-745,-2462,-1026,-773,217,681,1072,523,-88,406,812,745,101,2104,1819,1549,2230,1970,1329,1537,
基本每股收益,0.12,0.09,0.02,0.19,0.18,0.17,0.04,0.47,0.21,0.16,0.03,0.16,0.1,0.06,0.04,0.17,0.41,0.08,0.03,0.32,0.16,0.11,0.01,0.27,0.14,0.04,0.01,-0.51,-0.27,-0.14,-0.1,0.02,-0.24,-0.17,-0.06,-0.19,-0.08,-0.06,0.03,0.11,0.17,0.08,-0.01,0.06,0.13,0.11,0.02,0.4,0.38,0.32,0.46,0.41,0.28,0.32,
货币资金(万元),37577,37311,5103,3159,3568,1665,2301,2846,7352,1782,8368,2954,9278,16071,18841,19580,9779,35641,2678,7025,2670,3093,1390,3868,2029,3167,4387,4115,2077,10897,7020,7476,727,1023,655,10003,442,778,1560,1297,481,5891,3864,6271,8392,11146,7480,7057,15592,1158,2651,1292,354,
应收账款(万元),8296,10573,8255,11258,8413,8356,6797,7540,4357,7255,4934,5568,4463,5095,5784,5143,4884,5731,5877,5501,6126,7863,7255,7694,4605,4760,7852,6412,8171,7188,4666,5335,3230,3567,3216,3637,4111,3321,3812,3284,3126,2844,2642,2589,4610,4978,3704,4026,3762,3333,2009,1431,1938,
存货(万元),108695,107184,109076,108853,136748,158872,190324,186214,167320,156580,140424,133477,108003,106696,106854,105764,87153,81811,85016,82546,57970,51509,46598,44807,60127,86399,79451,51205,45187,43997,44284,44736,15445,14771,14414,13761,13246,12458,11971,11559,12605,7875,7350,6646,4921,4392,5133,5744,5750,5266,5046,3890,2499,
流动资产合计(万元),163241,162193,129626,129182,156971,179019,207869,204745,189768,177397,163805,149981,127809,132049,137464,136032,113567,135117,99598,99677,71716,68842,65638,67906,81719,103301,100964,70314,64821,72191,65644,70879,41752,40718,19159,28379,21149,20395,21082,20183,21491,21565,19127,19711,21893,23353,18169,18300,25860,10094,10328,7553,5990,
固定资产净额(万元),--,55384,--,56727,54980,55704,56400,57131,14178,15053,15315,15688,12314,12532,12812,13109,13205,12907,13380,13633,13472,13491,14213,14513,14743,14854,15000,15130,14860,15893,16209,16479,18756,19142,19351,19257,4793,5216,5167,5259,5374,5475,5589,5647,5607,5218,5355,5405,5307,5587,4698,4521,4426,
资产总计(万元),245130,244120,211784,212203,239698,261047,290360,289695,301122,276297,259479,243127,213270,204149,204505,202993,165401,185213,150073,150050,119481,113839,112523,114910,100841,121151,118961,90816,85008,92691,87107,92612,67622,67002,45662,54810,44472,43453,43551,40978,41235,40668,35416,35771,35303,35476,30236,30357,34970,19659,16921,12974,10551,
流动负债合计(万元),69956,70905,86312,87856,115074,137281,169987,170985,174461,151499,140517,125837,98870,92879,93520,95660,60351,84252,97923,102789,49279,44279,44352,46919,13468,43145,41335,41357,50383,56371,61405,65707,41927,40447,17544,26217,13596,12324,11237,11536,11759,11741,10600,10863,10014,10252,5641,5864,7000,7022,5808,4800,4795,
非流动负债合计(万元),13207,13207,13258,12966,13737,13656,13608,13608,33113,33114,33108,32708,32644,31145,29739,27739,27417,27281,27851,23351,48416,48311,48313,48253,69221,61119,61114,33122,15148,15145,4002,3957,6109,6109,6152,5882,6746,6746,6746,4092,3633,3633,133,133,119,119,125,125,3859,3840,3189,2208,1119,
负债合计(万元),83163,84112,99569,100822,128811,150937,183595,184593,207574,184612,173624,158545,131515,124024,123259,123399,87769,111533,125774,126140,97695,92590,92665,95172,82688,104265,102450,74479,65531,71516,65407,69665,48035,46556,23696,32099,20342,19070,17983,15628,15392,15374,10733,10996,10133,10371,5766,5989,10860,10861,8997,7007,5913,
所有者权益(或股东权益)合计(万元),161967,160009,112215,111381,110887,110111,106765,105102,93548,91685,85854,84582,81755,80125,81246,79594,77632,73680,24299,23910,21786,21249,19858,19738,18153,16886,16511,16336,19477,21175,21700,22948,19587,20446,21966,22711,24130,24383,25567,25350,25843,25295,24683,24775,25170,25104,24470,24369,24111,8798,7924,5967,4638,
期初现金及现金等价物余额(万元),3159,3150,3150,2836,2836,2836,2836,2870,2870,2870,2870,19580,19580,19580,19580,7025,7025,7025,7025,3868,3868,3868,3868,4115,4115,4115,4115,7476,7476,7476,7476,10003,10003,10003,10003,1297,1297,1297,1297,6271,6271,6271,6271,7057,7057,7057,7057,2651,2651,2651,1292,1292,354,82,
经营活动产生的现金流量净额(万元),-7798,-8459,-9004,-8426,917,-2011,1280,23874,37615,5601,-12262,-5007,9785,9287,-2242,1564,13887,10956,9425,9099,4591,6811,6922,-6632,-11032,-9562,-8948,-21430,-7440,-5315,4269,-19241,-1498,-739,-268,-2647,-1501,-391,268,-3694,-4825,-701,-230,1662,1634,1287,902,-809,-208,1382,3464,517,788,1258,
