报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
营业收入(万元),43443,29960,12617,66459,49290,29378,14715,116242,76134,53027,27095,126488,87530,55142,25760,85829,50397,19342,9694,31914,24872,17396,8610,31725,22221,14998,7455,28534,21832,14865,7332,24637,16455,10229,6807,24717,17494,6071,21380,17725,15003,
营业成本(万元),5393,3709,1615,9855,7813,5055,2398,25566,20222,14995,8184,29935,20635,13586,6685,14241,5869,11841,5871,19162,14748,10301,4829,17809,12249,8141,4158,15795,11759,7748,3713,12866,8379,5192,3470,12886,8967,3094,11018,11103,9065,
营业利润(万元),6078,3511,-729,-8141,2772,988,8858,46669,30807,20244,9179,44918,30236,16702,8678,27609,15877,6018,3182,9429,7991,5867,3134,10233,7613,5322,2618,10109,8031,5884,2819,7824,5304,3556,2443,8390,6157,2411,7139,4270,3910,
利润总额(万元),6031,3468,-761,-8318,2727,1049,8865,46565,31140,20385,9291,45656,30700,17637,8764,28196,16305,6026,3182,9569,8150,6022,3135,10322,7717,5420,2618,10139,8028,5866,2819,7912,5371,3592,2480,8421,6167,2401,6952,4235,3746,
所得税费用(万元),277,314,217,938,1533,666,645,7345,3643,2660,1477,4005,4853,2975,1375,4166,2556,891,468,1421,1206,905,483,1518,1148,817,390,1512,1204,880,423,1215,809,536,372,1395,943,381,1070,530,483,
净利润(万元),5754,3153,-978,-9256,1194,383,8220,39220,27497,17725,7814,41651,25847,14662,7388,24030,13749,5135,2714,8148,6944,5117,2652,8804,6570,4603,2228,8627,6824,4986,2396,6698,4562,3056,2108,7026,5224,2020,5882,3704,3263,
基本每股收益,0.07,0.04,-0.02,-0.15,0.02,0.01,0.12,0.59,0.41,0.27,0.12,0.63,0.41,0.23,0.12,0.56,0.52,0.18,0.19,0.58,0.49,0.36,0.19,0.63,0.47,0.4,0.21,0.8,0.63,0.46,0.22,0.69,0.49,0.36,0.26,0.87,0.64,0.25,0.72,0.48,0.47,
货币资金(万元),101635,116494,128930,154570,186635,185016,198753,181636,170248,86089,77806,76910,73976,91441,90834,87372,91315,50009,48122,45386,45719,45276,45609,46770,45643,46009,46613,48055,47887,49387,53547,53151,52683,55790,9335,7829,5637,4161,4911,1927,
应收账款(万元),47422,48194,46091,44232,49024,48401,45169,47234,47396,47492,48666,41874,41445,37020,35927,30389,27605,4671,4994,3692,3086,4242,3956,3753,2281,2568,3278,1817,2412,3035,3170,2178,2327,2217,2262,1712,2172,2349,930,511,
存货(万元),5538,5338,4413,4213,4612,4993,5571,6010,6359,6786,7077,6389,6856,7360,6786,6217,7675,2781,2740,3250,2081,1365,2657,2603,3989,3944,3106,2280,2367,2448,1870,869,764,526,1017,1102,1247,814,1400,1278,
流动资产合计(万元),187239,203872,230844,252342,279357,270185,275876,270162,241130,159763,154724,151489,136243,146980,145628,142009,141569,63320,61083,57265,56860,56755,59769,57653,55909,54807,57888,56217,58931,59634,61054,58384,57022,60675,15071,12474,10828,10097,7904,5627,
固定资产净额(万元),--,43998,--,46052,42701,43756,44880,46099,43356,43039,44226,45436,41734,42609,43345,44486,45174,14779,15074,15378,15506,15743,13697,6416,2997,3165,3196,3328,3446,3522,3669,3818,4579,3955,4081,4201,4182,4335,4314,3545,
资产总计(万元),388150,403030,397238,429845,427089,430038,435781,399844,369763,282258,272413,268754,249082,245286,245312,241577,240648,82589,80669,76949,76609,76596,79901,77380,74601,73400,75813,72902,71227,70348,71767,69019,66927,69073,23501,20968,19406,16495,14353,9554,
流动负债合计(万元),20368,27370,25232,56363,51740,55539,53357,25684,7521,8801,8765,12839,8747,16041,19931,23523,32951,2294,2795,1788,2652,4467,3198,3329,2784,3550,2924,2242,2369,3328,7337,1791,1834,5487,3641,3234,3474,3524,2741,1160,
非流动负债合计(万元),79325,89803,90281,90780,82197,82158,82246,82201,82007,2993,3096,3177,3401,3496,3607,3669,3592,220,220,220,220,220,220,220,220,220,220,220,220,220,220,0,0,0,0,0,0,0,0,0,
负债合计(万元),99693,117173,115513,147142,133936,137697,135602,107885,89528,11794,11861,16016,12148,19537,23538,27192,36543,2514,3015,2008,2872,4687,3418,3549,3004,3770,3144,2462,2589,3548,7557,1791,1834,5487,3641,3234,3474,3524,2741,1160,
所有者权益(或股东权益)合计(万元),288457,285856,281725,282703,293153,292342,300179,291959,280235,270464,260552,252738,236934,225749,221774,214385,204105,80075,77654,74940,73736,71909,76483,73831,71597,69630,72669,70441,68638,66800,64210,67228,65093,63586,19860,17734,15932,12971,11612,8394,
期初现金及现金等价物余额(万元),154570,154570,154570,181279,181279,181279,181629,76910,76910,76910,76910,87372,87372,87372,87372,37032,37032,45386,45386,46770,46770,46770,46770,48055,48055,48055,48055,53151,53151,53151,53151,7829,7829,7829,7829,4161,4161,4161,4911,1927,993,
经营活动产生的现金流量净额(万元),3843,3657,9170,7446,3195,2287,7664,27111,19382,11440,1864,16932,16834,13774,5667,13773,4692,5380,3531,8011,7019,5104,1942,8313,5769,4024,512,6304,3676,1292,507,7443,5199,3259,1680,8571,6243,3662,5406,4689,2507,
投资活动产生的现金流量净额(万元),-9193,-8193,-1718,-61330,-25850,-32477,-17023,-11375,-5036,-2213,-920,-12424,-15253,-2831,-1160,49755,393,-287,-325,-1766,-1031,-818,-583,-4184,-3183,-2113,-1955,-5985,-3526,-657,-110,-2715,-1100,-384,-144,-2445,-2401,88,-1525,-3111,-369,
筹资活动产生的现金流量净额(万元),-47584,-33540,-33091,26817,28011,33927,26483,88633,78991,-47,-47,-14974,-14974,-6877,-1045,-13182,-1795,-470,-470,-7628,-7038,-5780,0,-5414,-4997,-3956,0,-5414,-5414,-4399,0,40594,40756,45087,-30,-2458,-2366,-2036,-4630,1407,-1204,
现金及现金等价物净增加额(万元),-52935,-38076,-25639,-27067,5356,3737,17124,104369,93338,9180,896,-10462,-13396,4069,3462,50340,3290,4623,2736,-1384,-1050,-1494,1359,-1285,-2412,-2046,-1442,-5096,-5263,-3764,397,45322,44854,47961,1507,3667,1476,1714,-749,2984,934,
期末现金及现金等价物余额(万元),101635,116494,128930,154213,186635,185016,198753,181279,170248,86089,77806,76910,73976,91441,90834,87372,40321,50009,48122,45386,45719,45276,48129,46770,45643,46009,46613,48055,47887,49387,53547,53151,52683,55790,9335,7829,5637,5875,4161,4911,1927,		
		
  
