报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
营业收入(万元),434718,298420,154991,481456,382616,270029,158060,408127,305970,224487,131467,382016,289012,203057,110175,318475,245702,170546,85950,292116,221742,153723,80104,249016,183048,115624,58043,164868,106312,70277,44014,195321,139005,88909,164932,66337,163233,93856,
营业成本(万元),145698,97608,54407,163082,128759,90124,50222,130391,96414,71672,41952,128770,94365,64586,35679,116441,88640,62265,30997,107765,79185,53889,27914,83050,60430,35857,17629,52404,33759,22259,13581,61769,45309,29528,55470,22039,63681,37973,
营业利润(万元),68680,54427,34390,71895,67300,53240,35533,64924,53822,40682,26039,62369,51651,36953,21697,49903,38535,26672,14937,40999,32739,23373,11891,27323,25871,17905,8365,18822,17140,15918,9338,48959,33170,20325,34572,12856,33964,15037,
利润总额(万元),68431,54219,34397,70100,66796,52966,35503,63835,53346,40216,25950,63769,50976,36622,21752,49939,38377,26116,14417,41056,33416,23835,12086,28934,26333,18076,8339,21624,18906,16505,9590,53250,34877,20685,36876,12732,35431,14423,
所得税费用(万元),11188,8911,5596,10805,10946,8406,4482,10156,8961,6695,4081,10176,7793,5786,3495,7258,5391,3838,2057,5606,4380,3722,1985,4505,4037,2909,1349,3043,2860,2326,1430,7843,5307,3188,5374,2184,5680,2198,
净利润(万元),57243,45308,28800,59296,55849,44560,31020,53679,44385,33520,21869,53593,43183,30836,18257,42680,32986,22278,12360,35450,29036,20113,10101,24429,22296,15167,6990,18581,16046,14179,8160,45407,29571,17498,31503,10548,29752,12225,
基本每股收益,0.48,0.38,0.24,0.5,0.47,0.37,0.25,0.45,0.37,0.28,0.19,0.48,0.39,0.28,0.16,0.39,0.29,0.2,0.22,0.63,0.52,0.36,0.18,0.44,0.4,0.27,0.13,0.34,0.29,0.26,0.19,1.17,0.79,0.49,0.94,0.29,0.9,0.37,
货币资金(万元),74473,54716,84653,77726,99634,134832,70108,80268,88910,84677,169539,53406,36940,41702,38850,43059,34512,42686,46079,40153,70897,74305,70583,70963,100524,117189,154612,149906,159889,167206,181655,196250,222815,34201,40309,21084,12613,
应收账款(万元),136981,126356,100708,61948,90944,102851,100909,68862,88404,70553,81620,48152,76008,65670,56965,33503,66676,62989,40863,23962,39187,38689,27014,18990,22942,13622,16159,17791,21202,31029,42249,18479,30696,20670,16752,16768,7190,
存货(万元),123568,118672,125111,117567,105817,100532,99014,107558,102062,105879,85319,92173,92214,93645,97728,103787,90811,78270,80200,83374,74170,61082,59102,61838,50254,50671,44315,45566,46297,37510,32134,32675,29122,19708,21013,14445,6783,
